,conversation id,turn,score distilbert,score roberta
0,0,0,"(0.0008898675441741943, 0.0005292594432830811)","(0.008072347320245348, 0.005192621075960705)"
1,0,1,"(0.000708162784576416, 0.00041979551315307617)","(0.021391869742468678, 0.005608924540010099)"
2,0,2,"(0.9756045341491699, 0.00046953558921813965)","(0.9622776370049241, 0.006665460536148494)"
3,0,3,"(0.9295482039451599, 0.0005979537963867188)","(0.9452069999315946, 0.012259144351260623)"
4,0,4,"(0.9689690172672272, 0.0004426538944244385)","(0.9317511198639498, 0.0063715324149172916)"
5,0,5,"(0.0005882084369659424, 0.0004627704620361328)","(0.004995743113625324, 0.005206776410561747)"
6,0,6,"(0.0016144216060638428, 0.0004214644432067871)","(0.015733542956738726, 0.004937052891900586)"
7,0,7,"(0.0005944371223449707, 0.00044277310371398926)","(0.005523640733120801, 0.005171308953347752)"
8,0,8,"(0.0007496476173400879, 0.000650942325592041)","(0.005749207861636249, 0.0050200399417459065)"
9,0,9,"(0.0018393993377685547, 0.000429689884185791)","(0.006846429228313904, 0.0050544799865617765)"
10,1,0,"(0.0020758509635925293, 0.00046876072883605957)","(0.014573611860584236, 0.007096905437703696)"
11,1,1,"(0.9814206659793854, 0.0005193948745727539)","(0.9788305533668107, 0.005505910045570868)"
12,1,2,"(0.003882765769958496, 0.0005016028881072998)","(0.007400253527197608, 0.005168812276451419)"
13,1,3,"(0.010804325342178345, 0.0004292130470275879)","(0.010401833032394824, 0.0051720817437346505)"
14,1,4,"(0.0009286403656005859, 0.0005234479904174805)","(0.005321757969552898, 0.0052615285464523405)"
15,1,5,"(0.0005595386028289795, 0.006998836994171143)","(0.005480420588353477, 0.006435580562385251)"
16,1,6,"(0.0008963346481323242, 0.0005417466163635254)","(0.023460122714670458, 0.005085479367854804)"
17,1,7,"(0.9741395711898804, 0.0004967749118804932)","(0.9492117250068718, 0.005283192968208246)"
18,1,8,"(0.0008216798305511475, 0.0006756484508514404)","(0.006148896589641445, 0.005164069933691513)"
19,1,9,"(0.9574588239192963, 0.0005553066730499268)","(0.9625300769170689, 0.0053613581167783605)"
