,conversation id,turn,score distilbert,score roberta
0,0,0,"(0.02694055438041687, 0.004478752613067627)","(0.9386738071250826, 0.032280756349034594)"
1,0,1,"(0.1550815999507904, 0.0015711784362792969)","(0.11078210789166042, 0.04953281373744242)"
2,0,2,"(0.9662999212741852, 0.0004862546920776367)","(0.9757577637309414, 0.007750764287640608)"
3,0,3,"(0.0006505250930786133, 0.0004298686981201172)","(0.005219702287925863, 0.004895699847341013)"
4,0,4,"(0.0009692609310150146, 0.0004957616329193115)","(0.005073623080977744, 0.006560369664979082)"
5,0,5,"(0.004140257835388184, 0.0004646182060241699)","(0.084153716346239, 0.0052649887064096625)"
6,0,6,"(0.05164217948913574, 0.00047263503074645996)","(0.827730638288892, 0.007060234143317277)"
7,0,7,"(0.05146625638008118, 0.000500112771987915)","(0.9194816447223352, 0.016312873352360695)"
8,0,8,"(0.9594826400279999, 0.0004418790340423584)","(0.9042797953205802, 0.005645381833834879)"
9,0,9,"(0.0005987286567687988, 0.0004132688045501709)","(0.00697258870501533, 0.005188184316626964)"
10,1,0,"(0.7701292634010315, 0.0020069777965545654)","(0.17994258808385288, 0.007990783700419498)"
11,1,1,"(0.9609266221523285, 0.00045871734619140625)","(0.9155611196061545, 0.006203487820585548)"
12,1,2,"(0.11497142910957336, 0.00043138861656188965)","(0.24091040611671088, 0.006661723506570172)"
13,1,3,"(0.0016592442989349365, 0.0004813671112060547)","(0.013105584518104717, 0.005866990153746543)"
14,1,4,"(0.0008488893508911133, 0.00041735172271728516)","(0.008305391851802358, 0.00548328017103059)"
15,1,5,"(0.9490159153938293, 0.0005514025688171387)","(0.9519630000668601, 0.007962281217375484)"
16,1,6,"(0.06494739651679993, 0.00047072768211364746)","(0.013710862840291063, 0.0059606081078212)"
17,1,7,"(0.9718694388866425, 0.06533056497573853)","(0.9714941154552813, 0.14746583819374787)"
18,1,8,"(0.0021865367889404297, 0.00043639540672302246)","(0.0541744505743701, 0.007830675268092925)"
19,1,9,"(0.0009216368198394775, 0.0004826784133911133)","(0.047468619850559626, 0.007753364769959731)"
20,2,0,"(0.10209918022155762, 0.0004998743534088135)","(0.9290656060190944, 0.007538288751597889)"
21,2,1,"(0.031110674142837524, 0.0005484819412231445)","(0.025970634319639672, 0.008506383130866785)"
22,2,2,"(0.09073802828788757, 0.0008591413497924805)","(0.9682893410085317, 0.014679233492691523)"
23,2,3,"(0.9754233956336975, 0.2279544472694397)","(0.9247516754075095, 0.7075460155371618)"
24,2,4,"(0.9780764579772949, 0.23109892010688782)","(0.9568801905159835, 0.05761315863469763)"
25,2,5,"(0.010251522064208984, 0.0004490017890930176)","(0.04840993312675403, 0.006084427612820279)"
26,2,6,"(0.0025009512901306152, 0.007794439792633057)","(0.0051414839450674606, 0.006936384494798386)"
27,2,7,"(0.0006518661975860596, 0.000629812479019165)","(0.005840101905167796, 0.005203440696905587)"
28,2,8,"(0.028755098581314087, 0.0034480392932891846)","(0.07221275841236316, 0.01984345690858128)"
29,2,9,"(0.981441468000412, 0.0005162358283996582)","(0.973217695937582, 0.005513460884927159)"
30,3,0,"(0.17673921585083008, 0.0007267892360687256)","(0.9288890785911704, 0.02362246700567959)"
31,3,1,"(0.005903691053390503, 0.0004528164863586426)","(0.2912742021149728, 0.0164685228207203)"
