,conversation id,turn,score distilbert,score roberta
0,0,0,"(0.10475930571556091, 0.00044906139373779297)","(0.9248164858130667, 0.005203744304541225)"
1,0,1,"(0.0015236735343933105, 0.0004787743091583252)","(0.005528090134143896, 0.00762693198044867)"
2,0,2,"(0.9628334939479828, 0.0005303323268890381)","(0.9561390279413504, 0.006546864972274314)"
3,0,3,"(0.0008405745029449463, 0.00047644972801208496)","(0.00654750698310994, 0.004915051417117713)"
4,0,4,"(0.04580166935920715, 0.0004609227180480957)","(0.8947717079561924, 0.008482467560845692)"
5,0,5,"(0.0009571313858032227, 0.0004353821277618408)","(0.008620742237437825, 0.004929950690432077)"
6,0,6,"(0.0010696947574615479, 0.00048416852951049805)","(0.006228569647056359, 0.005069831032072411)"
7,0,7,"(0.0017029345035552979, 0.0005249083042144775)","(0.007090232131783294, 0.005050491311566969)"
8,0,8,"(0.9751292169094086, 0.0004283785820007324)","(0.9434544471224054, 0.005363041705617883)"
9,0,9,"(0.979700893163681, 0.00046750903129577637)","(0.9678155620767424, 0.006557840476980792)"
10,1,0,"(0.0019371211528778076, 0.0004648864269256592)","(0.062209386457861345, 0.005398247402511861)"
11,1,1,"(0.002216905355453491, 0.0005629360675811768)","(0.008703012993678276, 0.007660511696980624)"
12,1,2,"(0.0022321343421936035, 0.00047466158866882324)","(0.009987775080819428, 0.005789071343007228)"
13,1,3,"(0.7793938219547272, 0.003431379795074463)","(0.008520619526982237, 0.006611010218677861)"
14,1,4,"(0.0007756948471069336, 0.0004267692565917969)","(0.008186434675158736, 0.005071784451188327)"
15,1,5,"(0.001752406358718872, 0.00048410892486572266)","(0.9775110817148288, 0.005525867608669178)"
16,1,6,"(0.004460424184799194, 0.0004162788391113281)","(0.0966317586388763, 0.005577599987641142)"
17,1,7,"(0.00600394606590271, 0.0005133152008056641)","(0.053833502915818184, 0.007103114148248734)"
18,1,8,"(0.001136094331741333, 0.00047466158866882324)","(0.007031607243723316, 0.005251071964696667)"
19,1,9,"(0.0011130869388580322, 0.010549843311309814)","(0.006853303045877737, 0.007647636160365152)"
20,2,0,"(0.7532139420509338, 0.0007554888725280762)","(0.42493718554181625, 0.009265767544286038)"
21,2,1,"(0.09545636177062988, 0.00044408440589904785)","(0.8993493360150936, 0.006225742733838353)"
22,2,2,"(0.0034227967262268066, 0.00046199560165405273)","(0.02838602199762997, 0.006863641251587486)"
23,2,3,"(0.970743715763092, 0.00043466687202453613)","(0.968703272668753, 0.005754650868686707)"
24,2,4,"(0.00231972336769104, 0.0005995631217956543)","(0.007444566516143703, 0.006043063924299783)"
25,2,5,"(0.0012522637844085693, 0.007830560207366943)","(0.11009904640490661, 0.007330592012808389)"
26,2,6,"(0.001344442367553711, 0.0004216432571411133)","(0.01922175961702767, 0.005194229778752987)"
27,2,7,"(0.006125360727310181, 0.000499039888381958)","(0.553144756415501, 0.011036223294155774)"
28,2,8,"(0.9806101024150848, 0.0005719661712646484)","(0.9787018566418367, 0.0061220704098062404)"
29,2,9,"(0.0013359785079956055, 0.0005556046962738037)","(0.0066787937980515594, 0.005373613009858405)"
30,3,0,"(0.7618646621704102, 0.0005148053169250488)","(0.905554744402881, 0.006265308141943751)"
31,3,1,"(0.009795665740966797, 0.0007759332656860352)","(0.705297966380428, 0.006928594524916392)"
32,3,2,"(0.0010858476161956787, 0.0005168318748474121)","(0.006289490855880292, 0.0050613812653005665)"
33,3,3,"(0.9779226779937744, 0.0004742443561553955)","(0.9654054713802657, 0.005694040658995904)"
34,3,4,"(0.006720364093780518, 0.000484466552734375)","(0.17468847633413162, 0.006096998704470966)"
35,3,5,"(0.0055137574672698975, 0.00046241283416748047)","(0.10648959302281907, 0.00576051955875158)"
36,3,6,"(0.07572314143180847, 0.0005186796188354492)","(0.10789800432575329, 0.006435339697844387)"
37,3,7,"(0.0005678534507751465, 0.00044676661491394043)","(0.0070029596453716385, 0.006151225308715652)"
38,3,8,"(0.9603851139545441, 0.0004474818706512451)","(0.9142706527880055, 0.005455664222465122)"
39,3,9,"(0.0007434189319610596, 0.00044164061546325684)","(0.005816495278564054, 0.005338764611035004)"
40,4,0,"(0.9405447840690613, 0.0006094276905059814)","(0.9170975109804833, 0.0846413720190367)"
41,4,1,"(0.9429125487804413, 0.00045567750930786133)","(0.8351742586924283, 0.006010497351738742)"
42,4,2,"(0.0015873312950134277, 0.0004347264766693115)","(0.00515873477152231, 0.006012868019757566)"
43,4,3,"(0.0008460879325866699, 0.0004309415817260742)","(0.005907147411110298, 0.005879454664671315)"
44,4,4,"(0.010459065437316895, 0.0007161498069763184)","(0.01280887804754116, 0.02094980502555909)"
45,4,5,"(0.0013802647590637207, 0.0004927515983581543)","(0.005783999039714468, 0.005955589654474537)"
46,4,6,"(0.9790751039981842, 0.0004361569881439209)","(0.9728278191333297, 0.006164795332954671)"
47,4,7,"(0.1008780300617218, 0.0006276369094848633)","(0.8848865948656056, 0.0069715718836897474)"
48,4,8,"(0.009381890296936035, 0.00042122602462768555)","(0.16154685930517437, 0.005916821250979854)"
49,4,9,"(0.0006464719772338867, 0.0005131959915161133)","(0.005785639030621007, 0.005634586148127908)"
50,5,0,"(0.07471263408660889, 0.0004532337188720703)","(0.1234121980928674, 0.005590736062857547)"
51,5,1,"(0.047218918800354004, 0.0005171298980712891)","(0.1607699498104307, 0.014226511115638657)"
52,5,2,"(0.003970026969909668, 0.00046199560165405273)","(0.03052088297757588, 0.006804649864126789)"
53,5,3,"(0.9743840992450714, 0.0004735291004180908)","(0.8931346984341159, 0.005960314284032512)"
54,5,4,"(0.9464662075042725, 0.00048601627349853516)","(0.9753103608522825, 0.005769585392758073)"
55,5,5,"(0.0004340708255767822, 0.014022469520568848)","(0.005189801499436281, 0.008965744058362356)"
56,5,6,"(0.03886526823043823, 0.0004375278949737549)","(0.12016143571635854, 0.005429479056610747)"
57,5,7,"(0.9742303788661957, 0.0004939436912536621)","(0.8824207918678906, 0.006374769412595183)"
58,5,8,"(0.9339344501495361, 0.000642240047454834)","(0.9544070125645657, 0.03874458637473108)"
59,5,9,"(0.8394689559936523, 0.00046247243881225586)","(0.9398505857928771, 0.005592109431222001)"
60,6,0,"(0.004084199666976929, 0.000431060791015625)","(0.040636087734797564, 0.005955493675504771)"
61,6,1,"(0.000893712043762207, 0.0009653270244598389)","(0.005854266060678687, 0.007089560780367746)"
62,6,2,"(0.0008291006088256836, 0.00043633580207824707)","(0.005081948521694344, 0.005041430173547166)"
63,6,3,"(0.013668477535247803, 0.0004793703556060791)","(0.202239014284499, 0.009254900590042962)"
64,6,4,"(0.9781275391578674, 0.00047662854194641113)","(0.9785006980251041, 0.00531912849599932)"
65,6,5,"(0.9762592613697052, 0.00047901272773742676)","(0.9635053116003676, 0.005723917278484474)"
66,6,6,"(0.8389637172222137, 0.000501781702041626)","(0.9494603001904172, 0.006307770928987277)"
67,6,7,"(0.0005519986152648926, 0.00041034817695617676)","(0.005468177577366558, 0.005382609295502586)"
68,6,8,"(0.018907934427261353, 0.0005126595497131348)","(0.09090542338632258, 0.010417123953007966)"
69,6,9,"(0.9821384251117706, 0.006197690963745117)","(0.9720581920425038, 0.007110920495170284)"
70,7,0,"(0.8377287983894348, 0.0004825592041015625)","(0.8681725660779254, 0.009338824377486829)"
71,7,1,"(0.15460041165351868, 0.0006002187728881836)","(0.09356027900866781, 0.008093408564620269)"
72,7,2,"(0.9680967330932617, 0.002703636884689331)","(0.958824206008667, 0.008908996198887553)"
73,7,3,"(0.0008928775787353516, 0.017315268516540527)","(0.9740090694299279, 0.008294166937926638)"
74,7,4,"(0.010115951299667358, 0.0004654824733734131)","(0.03531091108708957, 0.005451939817505648)"
75,7,5,"(0.0021110177040100098, 0.0005133748054504395)","(0.08112315823628317, 0.007075235776650452)"
76,7,6,"(0.0020051300525665283, 0.0004214048385620117)","(0.0059731627294212514, 0.00534098068242117)"
77,7,7,"(0.1696033775806427, 0.0004970729351043701)","(0.8943661412588907, 0.009583913654354194)"
78,7,8,"(0.0016337037086486816, 0.0005072653293609619)","(0.008229377939381801, 0.005951926607017483)"
79,7,9,"(0.08136087656021118, 0.00045180320739746094)","(0.8326317222003724, 0.009017407092780583)"
80,8,0,"(0.8330436050891876, 0.0006583034992218018)","(0.8902575911867416, 0.01109767892292478)"
81,8,1,"(0.0007901191711425781, 0.00045561790466308594)","(0.012628956193585577, 0.00494859866633642)"
82,8,2,"(0.001045316457748413, 0.0004273653030395508)","(0.006138764197409404, 0.0064178446092876115)"
83,8,3,"(0.9763463735580444, 0.05465838313102722)","(0.9797657857464328, 0.06843008273513468)"
84,8,4,"(0.0023553967475891113, 0.0004986822605133057)","(0.9788878298652344, 0.005062807801384395)"
85,8,5,"(0.9805942475795746, 0.022009998559951782)","(0.9763356164212662, 0.00945654653920538)"
86,8,6,"(0.9472146332263947, 0.00045371055603027344)","(0.9129238343919884, 0.005436799309327846)"
87,8,7,"(0.0020473599433898926, 0.0005086958408355713)","(0.2037354547955711, 0.005752474142227691)"
88,8,8,"(0.0026004910469055176, 0.000467449426651001)","(0.18288874841670757, 0.0058360059327266615)"
89,8,9,"(0.0005044043064117432, 0.0005784034729003906)","(0.00522175525731765, 0.005143274514551149)"
90,9,0,"(0.9674287438392639, 0.0005694031715393066)","(0.9583141275337449, 0.008953012757463564)"
91,9,1,"(0.0018399357795715332, 0.0004762709140777588)","(0.048544532417009754, 0.005500974907510279)"
92,9,2,"(0.0005220770835876465, 0.005171716213226318)","(0.0054090185519179495, 0.0056492188851642085)"
93,9,3,"(0.0009135007858276367, 0.0004501938819885254)","(0.006064654852788741, 0.005261555999132405)"
94,9,4,"(0.010010868310928345, 0.00043210387229919434)","(0.43807598753405097, 0.007315347260705661)"
95,9,5,"(0.03597104549407959, 0.0005151629447937012)","(0.11654334401463638, 0.006419796986469463)"
96,9,6,"(0.0013324320316314697, 0.0005238056182861328)","(0.2577515519762427, 0.005968105480973403)"
97,9,7,"(0.9799968898296356, 0.006397664546966553)","(0.9449508242617298, 0.006951799606839834)"
98,9,8,"(0.9675817787647247, 0.0006749331951141357)","(0.9732182925119061, 0.00852502764916797)"
99,9,9,"(0.0018246173858642578, 0.0005068480968475342)","(0.0056372129800340435, 0.00550527300623583)"
100,10,0,"(0.9654943346977234, 0.0005019605159759521)","(0.9560218151116052, 0.008674591576558302)"
101,10,1,"(0.9583340585231781, 0.0004183650016784668)","(0.3828517440431438, 0.005162284406391949)"
102,10,2,"(0.0009721517562866211, 0.0005070269107818604)","(0.005464094847420124, 0.005161140913983235)"
103,10,3,"(0.0011982619762420654, 0.0004394352436065674)","(0.02123719069503548, 0.00513586500198645)"
104,10,4,"(0.005004286766052246, 0.0005196332931518555)","(0.019743559812503034, 0.005546473070722856)"
105,10,5,"(0.001056760549545288, 0.0004934072494506836)","(0.019763475712632286, 0.005464408397235578)"
106,10,6,"(0.14167627692222595, 0.00045996904373168945)","(0.10989887416216033, 0.005391876273109652)"
107,10,7,"(0.0007212460041046143, 0.0004501938819885254)","(0.0061909244295251, 0.005082493424777972)"
108,10,8,"(0.06544670462608337, 0.0004359781742095947)","(0.08408266768490304, 0.005970284075485566)"
109,10,9,"(0.0005157589912414551, 0.00040218234062194824)","(0.005134296202866259, 0.004963980663697849)"
110,11,0,"(0.0037645697593688965, 0.00048154592514038086)","(0.014370538657907894, 0.005456305903128385)"
111,11,1,"(0.0008108615875244141, 0.00040903687477111816)","(0.006281000004839087, 0.005329118276463342)"
112,11,2,"(0.0014857947826385498, 0.0005053579807281494)","(0.10695027902065771, 0.005419767379983941)"
113,11,3,"(0.0035916566848754883, 0.0005051195621490479)","(0.4530739828720274, 0.0061489752679708765)"
114,11,4,"(0.0027462542057037354, 0.0004982650279998779)","(0.015166889195873157, 0.005778818828885448)"
115,11,5,"(0.07855033874511719, 0.0004706084728240967)","(0.9061346691404629, 0.005626539540158021)"
116,11,6,"(0.9831721484661102, 0.0004654824733734131)","(0.9752886902899349, 0.005017225528155708)"
117,11,7,"(0.9609834849834442, 0.02601286768913269)","(0.9451269183012, 0.11202294706814737)"
118,11,8,"(0.9374037683010101, 0.0005121231079101562)","(0.9800465439884414, 0.0057963899346529174)"
119,11,9,"(0.9776599705219269, 0.0007124543190002441)","(0.9622451434227207, 0.013117906387863672)"
120,12,0,"(0.817050576210022, 0.0005676746368408203)","(0.9578796747752114, 0.05301246500412192)"
121,12,1,"(0.0009224116802215576, 0.0006320178508758545)","(0.010663527129670704, 0.006537672783182589)"
122,12,2,"(0.9818507432937622, 0.0004533529281616211)","(0.9768905715573895, 0.005238319766541225)"
123,12,3,"(0.0018533766269683838, 0.0005175471305847168)","(0.007401612660819772, 0.0050663302237850955)"
124,12,4,"(0.9417830407619476, 0.000431746244430542)","(0.9520802538688413, 0.005831006079422601)"
125,12,5,"(0.000711977481842041, 0.00042492151260375977)","(0.009315692366245514, 0.005080707034883393)"
126,12,6,"(0.8629409670829773, 0.00041741132736206055)","(0.9124839611389889, 0.005826231438544753)"
127,12,7,"(0.9621919989585876, 0.0053687989711761475)","(0.8537552448903469, 0.024255086789963416)"
128,12,8,"(0.0051580071449279785, 0.0004114806652069092)","(0.01590729489465118, 0.005305701024058621)"
129,12,9,"(0.9465597867965698, 0.05710539221763611)","(0.012513204982729644, 0.005878791381788036)"
130,13,0,"(0.022826552391052246, 0.00046691298484802246)","(0.23818731317008718, 0.007869797396842916)"
131,13,1,"(0.7728019654750824, 0.0005086958408355713)","(0.9716492022276856, 0.010086381842860434)"
132,13,2,"(0.0018034875392913818, 0.0004609823226928711)","(0.09519190582471117, 0.006178658622841263)"
133,13,3,"(0.0024036169052124023, 0.0005757808685302734)","(0.9796178788301558, 0.015662670923336085)"
134,13,4,"(0.004345983266830444, 0.0004736483097076416)","(0.05597443096819385, 0.006098278908628956)"
135,13,5,"(0.9740223586559296, 0.0005592405796051025)","(0.9417287532874886, 0.010386240843130239)"
136,13,6,"(0.0011098682880401611, 0.0005061328411102295)","(0.005414477619132193, 0.005496231826368443)"
137,13,7,"(0.0689348578453064, 0.000469893217086792)","(0.8229945640149, 0.005456466335021777)"
138,13,8,"(0.9492463767528534, 0.0025655031204223633)","(0.9104515947971812, 0.017008748886538833)"
139,13,9,"(0.9310583770275116, 0.0008160173892974854)","(0.12567146491722167, 0.024331140924560346)"
140,14,0,"(0.9605431258678436, 0.0027553439140319824)","(0.916563986436702, 0.02316311938470269)"
141,14,1,"(0.0005823075771331787, 0.004252314567565918)","(0.005172658344718918, 0.006374497586910069)"
142,14,2,"(0.0017684996128082275, 0.0005179643630981445)","(0.005636143928998389, 0.005173801921338929)"
143,14,3,"(0.982198566198349, 0.0005463957786560059)","(0.9738160306494811, 0.01132884241779768)"
144,14,4,"(0.016157478094100952, 0.0004961788654327393)","(0.833429460927031, 0.01429541296907217)"
145,14,5,"(0.0015817880630493164, 0.00046366453170776367)","(0.08652627268566287, 0.007169920131376349)"
146,14,6,"(0.005152225494384766, 0.0005253851413726807)","(0.15054875957065922, 0.006656115558472879)"
147,14,7,"(0.09200224280357361, 0.00047329068183898926)","(0.9430405850810811, 0.006177551933429765)"
148,14,8,"(0.0004399120807647705, 0.0004953145980834961)","(0.9781218149937616, 0.00779341623184703)"
149,14,9,"(0.010961025953292847, 0.0005202889442443848)","(0.01790363133031784, 0.005406428246292651)"
150,15,0,"(0.0008719861507415771, 0.0003922581672668457)","(0.010597883030733606, 0.005607961867844723)"
151,15,1,"(0.9741799235343933, 0.0005607306957244873)","(0.9793124734624498, 0.005481117149999576)"
152,15,2,"(0.04296797513961792, 0.0004132091999053955)","(0.17203404473660766, 0.005270975678774281)"
153,15,3,"(0.002258479595184326, 0.0004622340202331543)","(0.019033285845044864, 0.005579218822097289)"
154,15,4,"(0.0014123916625976562, 0.0004871487617492676)","(0.13864570705577803, 0.03015710988419727)"
155,15,5,"(0.938734233379364, 0.000476151704788208)","(0.8525387627411303, 0.005879008752017195)"
156,15,6,"(0.002058058977127075, 0.0004412829875946045)","(0.02561001733804507, 0.005388660289662158)"
157,15,7,"(0.0013129115104675293, 0.00040480494499206543)","(0.004874420649146673, 0.004852293968532023)"
158,15,8,"(0.000583261251449585, 0.00039836764335632324)","(0.005175380273708934, 0.005528960515956723)"
159,15,9,"(0.9718481004238129, 0.00045305490493774414)","(0.9756496874584251, 0.02130182126439763)"
160,16,0,"(0.9792603552341461, 0.0004144906997680664)","(0.9752067920818478, 0.005551943720060131)"
161,16,1,"(0.9779435992240906, 0.0005008280277252197)","(0.9782470602300899, 0.006496980329373379)"
162,16,2,"(0.0005572140216827393, 0.0004005730152130127)","(0.005478741924722704, 0.005962100050708317)"
163,16,3,"(0.008207499980926514, 0.0004585385322570801)","(0.028010636210759682, 0.007295708733575934)"
164,16,4,"(0.001129746437072754, 0.0005549490451812744)","(0.01051374673800872, 0.005310038771832553)"
165,16,5,"(0.00882694125175476, 0.00040283799171447754)","(0.11798423595893029, 0.005539294903367246)"
