,conversation id,turn,score distilbert,score roberta
0,0,0,"(0.9758563935756683, 0.007985860109329224)","(0.9468011304099689, 0.026049165687279458)"
1,0,1,"(0.9759526252746582, 0.0005499720573425293)","(0.9728953990325127, 0.0057144025878543845)"
2,0,2,"(0.9461145102977753, 0.0005363523960113525)","(0.9636268444692645, 0.005671486251998013)"
3,0,3,"(0.9804413020610809, 0.000514984130859375)","(0.9794733718125721, 0.005537251697439956)"
4,0,4,"(0.9803363680839539, 0.000474780797958374)","(0.9659123251499361, 0.005010548180497819)"
5,0,5,"(0.9750128388404846, 0.000414431095123291)","(0.9764844769184174, 0.006562536091117139)"
6,0,6,"(0.9808304905891418, 0.0004417002201080322)","(0.9652746061649385, 0.005678549344956412)"
7,0,7,"(0.02658975124359131, 0.0005464553833007812)","(0.660189831647562, 0.027151573571963884)"
8,0,8,"(0.9800698459148407, 0.0004787743091583252)","(0.9788665631718169, 0.005163575117003648)"
9,0,9,"(0.9809194505214691, 0.0005040466785430908)","(0.9781173655677827, 0.005636817407653412)"
10,1,0,"(0.9684240520000458, 0.0004820823669433594)","(0.9507047627743755, 0.005664190185263887)"
11,1,1,"(0.9790751039981842, 0.0015434622764587402)","(0.972521983243638, 0.010641244757345087)"
12,1,2,"(0.9713482856750488, 0.0037856996059417725)","(0.9317889526693741, 0.0400070400178682)"
13,1,3,"(0.03698953986167908, 0.00048470497131347656)","(0.02856372074522148, 0.005639493404849476)"
14,1,4,"(0.9831306338310242, 0.0004311203956604004)","(0.9737853249127568, 0.005188108023583546)"
15,1,5,"(0.9601816534996033, 0.0004940629005432129)","(0.9483841979631431, 0.0061701117845780855)"
16,1,6,"(0.8543588221073151, 0.0005339086055755615)","(0.4141146420212839, 0.010238724992220803)"
17,1,7,"(0.9820332229137421, 0.0004476010799407959)","(0.9696315789768749, 0.005110969244905231)"
18,1,8,"(0.9816271662712097, 0.0005579292774200439)","(0.9783591243260147, 0.005344928820965529)"
19,1,9,"(0.9731376767158508, 0.00048339366912841797)","(0.9593782701465745, 0.0051254307412015)"
20,2,0,"(0.9785197377204895, 0.0004373490810394287)","(0.9728958454119033, 0.005447448035142362)"
21,2,1,"(0.9785338342189789, 0.0004343688488006592)","(0.9744782383374979, 0.005516975924365184)"
22,2,2,"(0.7530249655246735, 0.00048679113388061523)","(0.9642712870767886, 0.005216345964869632)"
23,2,3,"(0.9762561321258545, 0.004018247127532959)","(0.9495442311675194, 0.07876860051470438)"
24,2,4,"(0.973572701215744, 0.08476701378822327)","(0.9721464045199025, 0.371430749346325)"
25,2,5,"(0.9810303747653961, 0.0005286633968353271)","(0.9685593218509362, 0.005325674292728897)"
26,2,6,"(0.9803363680839539, 0.0005869567394256592)","(0.9659123251499361, 0.0054492670476486435)"
27,2,7,"(0.9768186807632446, 0.00044906139373779297)","(0.9747409090496439, 0.005796730685854761)"
28,2,8,"(0.97518590092659, 0.0004943013191223145)","(0.9443331659563574, 0.005488764318409362)"
29,2,9,"(0.9792546033859253, 0.0005127787590026855)","(0.9768106645736998, 0.005087226398522099)"
30,3,0,"(0.975902259349823, 0.0004488229751586914)","(0.8781888576160717, 0.005448504745878678)"
31,3,1,"(0.9732471704483032, 0.0004450976848602295)","(0.7372353934191476, 0.005898492983889774)"
32,3,2,"(0.967218279838562, 0.0004602670669555664)","(0.9577933823558058, 0.008065134265851955)"
33,3,3,"(0.9789592921733856, 0.0050868988037109375)","(0.978689130430984, 0.03910652110421779)"
34,3,4,"(0.2086704671382904, 0.0006584227085113525)","(0.9646635135041755, 0.013965497321644791)"
35,3,5,"(0.9588080048561096, 0.0019593536853790283)","(0.9735812456674637, 0.07073787912166617)"
36,3,6,"(0.9801023900508881, 0.00048172473907470703)","(0.9787899402618595, 0.00636667394723573)"
37,3,7,"(0.979564368724823, 0.0005026757717132568)","(0.9784080300681833, 0.005040258316326152)"
