,conversation id,turn,score distilbert,score roberta
0,0,0,"(0.9806801676750183, 0.9780101180076599)","(0.9781176870582505, 0.9553869495296743)"
1,0,1,"(0.977026641368866, 0.04066869616508484)","(0.6649269733398181, 0.11515139368202013)"
2,0,2,"(0.9665217995643616, 0.0005095899105072021)","(0.932295524080746, 0.007650010451355172)"
3,0,3,"(0.9769884049892426, 0.09497180581092834)","(0.9715371526291114, 0.1526895682685592)"
4,0,4,"(0.9809939861297607, 0.0005362331867218018)","(0.9801893661665007, 0.12685544140401825)"
5,0,5,"(0.9816436469554901, 0.0005944371223449707)","(0.9763738813879496, 0.005266492309150173)"
6,0,6,"(0.9771944582462311, 0.9339806437492371)","(0.95300039787241, 0.7526919818983161)"
7,0,7,"(0.9814095795154572, 0.9530380666255951)","(0.9626608938558876, 0.6330745301934736)"
8,0,8,"(0.9829338192939758, 0.001529008150100708)","(0.9765670413789045, 0.00808252133601929)"
9,0,9,"(0.9805228114128113, 0.20596227049827576)","(0.9749928726196544, 0.10500274236902866)"
10,1,0,"(0.9816810786724091, 0.9243846535682678)","(0.9780488748928369, 0.867085020776984)"
11,1,1,"(0.9792848825454712, 0.20998549461364746)","(0.9495849030469602, 0.8137972635108163)"
12,1,2,"(0.9795333743095398, 0.0009894967079162598)","(0.9753787199823958, 0.005987196426211064)"
13,1,3,"(0.9790484607219696, 0.000676959753036499)","(0.97062239168264, 0.0053560793315280755)"
14,1,4,"(0.9832167029380798, 0.002549588680267334)","(0.9771688125933626, 0.046016253031610416)"
15,1,5,"(0.9797298014163971, 0.0006585419178009033)","(0.9574047405970274, 0.009195470598852144)"
16,1,6,"(0.974825382232666, 0.0013975203037261963)","(0.9537992521782104, 0.005541186455996222)"
17,1,7,"(0.974858969449997, 0.0008821487426757812)","(0.9744317508697737, 0.005511973418066528)"
18,1,8,"(0.9206117391586304, 0.0018386244773864746)","(0.8725489763818877, 0.08540521371114156)"
19,1,9,"(0.9765028655529022, 0.0010691583156585693)","(0.9648554284779435, 0.005872819614304021)"
20,2,0,"(0.9813240468502045, 0.9331182837486267)","(0.9781512140601833, 0.8986332490966056)"
21,2,1,"(0.9786052405834198, 0.0005217194557189941)","(0.9518763362878785, 0.021080781674520887)"
22,2,2,"(0.975682944059372, 0.003083527088165283)","(0.9714830672328088, 0.00793033364364183)"
23,2,3,"(0.977694571018219, 0.0013051927089691162)","(0.9789725647413987, 0.11869569967713721)"
24,2,4,"(0.9688454866409302, 0.0008439421653747559)","(0.945355810989445, 0.005833701820626592)"
25,2,5,"(0.052714526653289795, 0.0014438629150390625)","(0.5282095371876738, 0.010752870557587522)"
26,2,6,"(0.9755799770355225, 0.06977412104606628)","(0.8990324850987964, 0.09724334911943301)"
27,2,7,"(0.9609168469905853, 0.0005188584327697754)","(0.1951164536399912, 0.004996892819061258)"
28,2,8,"(0.9813196361064911, 0.0006883144378662109)","(0.9755156312068046, 0.006648883885029185)"
29,2,9,"(0.9771412014961243, 0.9668003618717194)","(0.9736009784244254, 0.8920236679397621)"
30,3,0,"(0.9824746251106262, 0.0004184246063232422)","(0.9713126659256458, 0.0062492199184562705)"
31,3,1,"(0.9507870078086853, 0.008690178394317627)","(0.8874401788226948, 0.09875974945775873)"
32,3,2,"(0.9620818495750427, 0.023639678955078125)","(0.9335485214748157, 0.8766661252919077)"
33,3,3,"(0.968789279460907, 0.026829659938812256)","(0.9607068830421877, 0.034078358010051116)"
34,3,4,"(0.98039111495018, 0.0006425380706787109)","(0.9711764827373375, 0.005250860254508553)"
35,3,5,"(0.9792031943798065, 0.0016113817691802979)","(0.965495090293671, 0.007709109925320899)"
36,3,6,"(0.9739726185798645, 0.0020560920238494873)","(0.9761194300584043, 0.00836014952569955)"
37,3,7,"(0.9763742089271545, 0.004361212253570557)","(0.9564113995486538, 0.02569602127872569)"
38,3,8,"(0.9806091487407684, 0.03720349073410034)","(0.9543362989340819, 0.8611024027086176)"
39,3,9,"(0.9730443060398102, 0.9775585532188416)","(0.9611518700871764, 0.9749760266379014)"
40,4,0,"(0.9815296232700348, 0.000619351863861084)","(0.979830396365373, 0.005407969457693079)"
41,4,1,"(0.9756433665752411, 0.9730058908462524)","(0.9576933411347837, 0.9783134085615425)"
42,4,2,"(0.9775057435035706, 0.0004686415195465088)","(0.9766732184692252, 0.005527516071328487)"
43,4,3,"(0.9823682606220245, 0.24213212728500366)","(0.9789388061617715, 0.9033301269147672)"
44,4,4,"(0.9625614881515503, 0.9439675509929657)","(0.1932496897211745, 0.10523695743040833)"
45,4,5,"(0.9755955338478088, 0.0007841885089874268)","(0.9398304597627081, 0.005481065164747224)"
