,conversation id,turn,score distilbert,score roberta
0,0,0,"(0.9800067842006683, 0.0008148849010467529)","(0.9745463515340973, 0.005432183392798684)"
1,0,1,"(0.0033179521560668945, 0.0006513297557830811)","(0.02333856058667515, 0.02547526772140419)"
2,0,2,"(0.9649951756000519, 0.07311651110649109)","(0.950555404280793, 0.9029883929999467)"
3,0,3,"(0.830637663602829, 0.0007314682006835938)","(0.9497513197396685, 0.005120038135050116)"
4,0,4,"(0.9812502562999725, 0.0022773146629333496)","(0.9791068898905391, 0.005531005925114541)"
5,0,5,"(0.16920745372772217, 0.0003974735736846924)","(0.5850428047833045, 0.005404454287677611)"
6,0,6,"(0.9738125205039978, 0.9329687356948853)","(0.9393973426051954, 0.9178256963681329)"
7,0,7,"(0.9733023941516876, 0.005084961652755737)","(0.9565547974620261, 0.12280267751678263)"
8,0,8,"(0.9807299077510834, 0.12270843982696533)","(0.9745759705643794, 0.0948457354419806)"
9,0,9,"(0.9835783243179321, 0.9423719942569733)","(0.8860652208519755, 0.860547493956554)"
10,1,0,"(0.9821882545948029, 0.9266821146011353)","(0.9746069308667031, 0.9268943167254606)"
11,1,1,"(0.975398451089859, 0.000639110803604126)","(0.9746425039623491, 0.017634746301004246)"
12,1,2,"(0.9325620234012604, 0.023977726697921753)","(0.894034615724677, 0.1533071293721517)"
13,1,3,"(0.9783833026885986, 0.0009057819843292236)","(0.9799590400716158, 0.006484078313967676)"
14,1,4,"(0.9815613031387329, 0.002216130495071411)","(0.9803998517848175, 0.006976723533884539)"
15,1,5,"(0.10359102487564087, 0.9363278448581696)","(0.9330488944426156, 0.9581278240673305)"
16,1,6,"(0.9767753779888153, 0.8979537785053253)","(0.9778792908714006, 0.8344478301868905)"
17,1,7,"(0.9774243235588074, 0.0008913576602935791)","(0.9783074591369422, 0.005979267091856251)"
18,1,8,"(0.9736301302909851, 0.0004012882709503174)","(0.9527738504301186, 0.005130804657633464)"
19,1,9,"(0.0007666051387786865, 0.00048106908798217773)","(0.005614887724156905, 0.008626755313552007)"
20,2,0,"(0.9764677882194519, 0.000512540340423584)","(0.9636782610947292, 0.005047003789956573)"
21,2,1,"(0.9706326425075531, 0.0008186399936676025)","(0.9746399465375758, 0.005517800084046244)"
22,2,2,"(0.9826272428035736, 0.0004565715789794922)","(0.9812057102302683, 0.012082198922513889)"
23,2,3,"(0.9736123085021973, 0.0008256435394287109)","(0.9595003431227127, 0.005027421538142054)"
24,2,4,"(0.9766235053539276, 0.0017387866973876953)","(0.9767104678876224, 0.005558410679640517)"
25,2,5,"(0.9810303747653961, 0.0008528530597686768)","(0.9685593218509362, 0.007020808398935898)"
26,2,6,"(0.9687136709690094, 0.0004229545593261719)","(0.9429212762214241, 0.005034768548629428)"
27,2,7,"(0.056416332721710205, 0.0006922483444213867)","(0.7172715914511205, 0.00584755670290395)"
28,2,8,"(0.9836893975734711, 0.02164474129676819)","(0.9786565054731001, 0.17088774412081298)"
29,2,9,"(0.9747550189495087, 0.8296108543872833)","(0.5703891918404626, 0.9334304999182377)"
30,3,0,"(0.9770821928977966, 0.7583872079849243)","(0.9583938212894122, 0.8567956681723966)"
31,3,1,"(0.9819749295711517, 0.9783355593681335)","(0.9794597299438415, 0.9748474903666169)"
32,3,2,"(0.9818706810474396, 0.0016381442546844482)","(0.9782334337445476, 0.03853673855150995)"
33,3,3,"(0.9758323729038239, 0.0005990862846374512)","(0.9655891119996118, 0.005013078203730971)"
34,3,4,"(0.9788700938224792, 0.9619930386543274)","(0.8984196494972445, 0.9571868343979255)"
35,3,5,"(0.9424661099910736, 0.9712291359901428)","(0.9276433632860142, 0.939784077161324)"
36,3,6,"(0.9783744513988495, 0.07087165117263794)","(0.9704827375580056, 0.9121076990926034)"
37,3,7,"(0.9825835525989532, 0.0005930066108703613)","(0.9807039999884635, 0.005162492563811873)"
38,3,8,"(0.978853851556778, 0.07412129640579224)","(0.9758293183773576, 0.19638744076775727)"
39,3,9,"(0.8323947787284851, 0.0022718310356140137)","(0.1278769922240187, 0.009697910510288286)"
40,4,0,"(0.980226993560791, 0.18148067593574524)","(0.9709624415315509, 0.22790548257702795)"
41,4,1,"(0.9799770712852478, 0.8254327774047852)","(0.978086537185042, 0.9520639241345841)"
42,4,2,"(0.9820521473884583, 0.0005228519439697266)","(0.9760104983273709, 0.005633090226567496)"
43,4,3,"(0.05293989181518555, 0.024085670709609985)","(0.9583295923883005, 0.9092649647724197)"
44,4,4,"(0.9679535925388336, 0.0010263621807098389)","(0.9732349975576967, 0.008383556653897315)"
45,4,5,"(0.9763222932815552, 0.0006751716136932373)","(0.8939871510815943, 0.005148093102526316)"
46,4,6,"(0.9741746783256531, 0.0004259347915649414)","(0.9661484485510371, 0.0050007207452260225)"
47,4,7,"(0.9712238311767578, 0.777853935956955)","(0.9685056598262461, 0.930819840942132)"
48,4,8,"(0.9660186469554901, 0.0033586621284484863)","(0.6697470315473293, 0.009556054532250023)"
49,4,9,"(0.9690664410591125, 0.0004679858684539795)","(0.9016900219947026, 0.006640945922126435)"
50,5,0,"(0.9821485877037048, 0.0005277693271636963)","(0.9769104296263696, 0.005159329471959087)"
51,5,1,"(0.979564368724823, 0.0006970465183258057)","(0.9784080300681833, 0.0050098968576895615)"
52,5,2,"(0.1719798445701599, 0.02576577663421631)","(0.3182802200070068, 0.14112686715412895)"
53,5,3,"(0.9759466350078583, 0.008619338274002075)","(0.9217353911638351, 0.031054511529039163)"
54,5,4,"(0.8255214393138885, 0.7884102761745453)","(0.9727657354477638, 0.9517674420970549)"
55,5,5,"(0.9556535482406616, 0.0010830461978912354)","(0.9341572058309797, 0.013885295012020812)"
56,5,6,"(0.979387104511261, 0.00040146708488464355)","(0.9721012491103755, 0.02609323131078219)"
57,5,7,"(0.9814479649066925, 0.001802295446395874)","(0.9718724613028072, 0.00546113644028478)"
58,5,8,"(0.9784384071826935, 0.0005729794502258301)","(0.9650742189318539, 0.005147831797518535)"
59,5,9,"(0.9761762917041779, 0.0006704926490783691)","(0.9686865784621537, 0.005609613403531768)"
60,6,0,"(0.9761078953742981, 0.920538604259491)","(0.9757563932498914, 0.8499288343112743)"
61,6,1,"(0.9361990690231323, 0.0006127655506134033)","(0.891427162400456, 0.009657169442611864)"
62,6,2,"(0.9721547365188599, 0.9442513585090637)","(0.963692879122348, 0.945228703439575)"
63,6,3,"(0.9777060449123383, 0.0007044374942779541)","(0.9600225534791835, 0.005275693058330176)"
64,6,4,"(0.9768209457397461, 0.006515949964523315)","(0.9224415013274716, 0.06956677132842627)"
65,6,5,"(0.9777922332286835, 0.9794120788574219)","(0.9513931784715071, 0.9550395370958654)"
66,6,6,"(0.966814398765564, 0.0007633864879608154)","(0.9529460550378358, 0.005046247199289889)"
67,6,7,"(0.9770530760288239, 0.0004774034023284912)","(0.9590010853024656, 0.09887282875179036)"
68,6,8,"(0.9802699983119965, 0.0012999773025512695)","(0.9614167422089196, 0.01280145180998149)"
69,6,9,"(0.9762956202030182, 0.000827491283416748)","(0.9757546786322375, 0.005298139176741317)"
70,7,0,"(0.9781345129013062, 0.014525622129440308)","(0.44907876586043605, 0.9142591781471737)"
71,7,1,"(0.23718181252479553, 0.003850489854812622)","(0.09895262253221745, 0.04908602144624914)"
72,7,2,"(0.9512834846973419, 0.14057421684265137)","(0.5762908388033842, 0.1470360817453215)"
73,7,3,"(0.9715057015419006, 0.0006798207759857178)","(0.9554854379481056, 0.040884889706268635)"
74,7,4,"(0.9733672440052032, 0.0747218132019043)","(0.9780994517659906, 0.21169997333345641)"
