,conversation id,turn,score distilbert,score roberta
0,0,0,"(0.9577879011631012, 0.0014622807502746582)","(0.91793605587762, 0.012626714783946839)"
1,0,1,"(0.010932058095932007, 0.0005071461200714111)","(0.9466339480319559, 0.01639992472144505)"
2,0,2,"(0.012229830026626587, 0.0005110502243041992)","(0.12857766231210932, 0.007329467859008925)"
3,0,3,"(0.9809294939041138, 0.0005405545234680176)","(0.9771563998377935, 0.008886360732887672)"
4,0,4,"(0.9832968711853027, 0.23651772737503052)","(0.9761109476826573, 0.18151270174269857)"
5,0,5,"(0.978060781955719, 0.10113123059272766)","(0.9745296091178752, 0.14337273719532984)"
6,0,6,"(0.9813837707042694, 0.00047329068183898926)","(0.977700921962596, 0.008787611026932434)"
7,0,7,"(0.0008776187896728516, 0.0005268752574920654)","(0.005698599515707526, 0.005046764350324615)"
8,0,8,"(0.9659162163734436, 0.0004343092441558838)","(0.8915337012243567, 0.005394167994396283)"
9,0,9,"(0.003118962049484253, 0.000461578369140625)","(0.09030106757342306, 0.005823428701864967)"
10,1,0,"(0.0012698769569396973, 0.0004557371139526367)","(0.8313597120384625, 0.0054716405525286095)"
11,1,1,"(0.0009013116359710693, 0.0004406869411468506)","(0.8534311134152787, 0.007612858692463389)"
12,1,2,"(0.9575592577457428, 0.0004640817642211914)","(0.8409332274929089, 0.0061217831819696785)"
13,1,3,"(0.000615924596786499, 0.0005410313606262207)","(0.005255888796235829, 0.005510784254571982)"
14,1,4,"(0.9773163795471191, 0.0004444420337677002)","(0.9675815545071959, 0.005177393797492798)"
15,1,5,"(0.0011944174766540527, 0.00046366453170776367)","(0.010739685678290232, 0.005938183373667078)"
16,1,6,"(0.9756149351596832, 0.0004572868347167969)","(0.9423847054575251, 0.005373936687860129)"
17,1,7,"(0.8308151066303253, 0.007239729166030884)","(0.6088204856211124, 0.007675275245697019)"
18,1,8,"(0.001162797212600708, 0.00039261579513549805)","(0.01645860880830119, 0.005554345236003997)"
19,1,9,"(0.0004839897155761719, 0.0003864765167236328)","(0.005115849945805242, 0.005316999620189635)"
20,2,0,"(0.001104116439819336, 0.0004635453224182129)","(0.11399759083708319, 0.0070033641951383)"
21,2,1,"(0.06621748208999634, 0.0005779862403869629)","(0.876145955974881, 0.008645260856262162)"
22,2,2,"(0.0006074011325836182, 0.0005481243133544922)","(0.005635890059002784, 0.009032414128121953)"
23,2,3,"(0.0033253729343414307, 0.0004279017448425293)","(0.011445153405548086, 0.005433551524237639)"
24,2,4,"(0.006516546010971069, 0.00045692920684814453)","(0.014046882706365001, 0.006405541802962744)"
25,2,5,"(0.0010536015033721924, 0.00047078728675842285)","(0.01772218228708798, 0.005317375390919672)"
26,2,6,"(0.0005861222743988037, 0.0005265772342681885)","(0.005359753856017207, 0.005223942837919321)"
27,2,7,"(0.0006336867809295654, 0.0026550889015197754)","(0.005446977877314055, 0.0057832505018764295)"
28,2,8,"(0.0005397796630859375, 0.00043514370918273926)","(0.004945455689709331, 0.004874228675962782)"
29,2,9,"(0.002163708209991455, 0.0004005134105682373)","(0.10374723020780675, 0.005594613112052761)"
30,3,0,"(0.03490710258483887, 0.0008494555950164795)","(0.030837388255279288, 0.00956174727786894)"
31,3,1,"(0.8379800617694855, 0.0004551410675048828)","(0.2470781305377498, 0.005689431478282241)"
32,3,2,"(0.0007202327251434326, 0.000431060791015625)","(0.005170953263047841, 0.005164035637944316)"
33,3,3,"(0.0036340653896331787, 0.00046432018280029297)","(0.005924384629071188, 0.0064043128118363764)"
34,3,4,"(0.9631743431091309, 0.00043955445289611816)","(0.9646444747341384, 0.005785153567091956)"
35,3,5,"(0.8324262201786041, 0.0006602108478546143)","(0.14263753692681574, 0.007149166273976642)"
36,3,6,"(0.0006109178066253662, 0.0007089972496032715)","(0.005034231124747061, 0.006356844562562599)"
37,3,7,"(0.9349890351295471, 0.0016220510005950928)","(0.17492942712030848, 0.006655365244198875)"
38,3,8,"(0.0020002126693725586, 0.036259204149246216)","(0.9776308969711558, 0.02178259883630417)"
39,3,9,"(0.0009298920631408691, 0.0005797445774078369)","(0.005894834108630246, 0.005733749453285005)"
40,4,0,"(0.08430898189544678, 0.0004520416259765625)","(0.13447945897123956, 0.005703529753169027)"
41,4,1,"(0.9754334688186646, 0.0017309188842773438)","(0.9525914542805534, 0.014229881868185601)"
42,4,2,"(0.023294955492019653, 0.0006826817989349365)","(0.10489031790136236, 0.015423118320140225)"
43,4,3,"(0.9702825248241425, 0.0005383193492889404)","(0.972177601543074, 0.006032032668641306)"
44,4,4,"(0.049521833658218384, 0.000438004732131958)","(0.7558150938056726, 0.005218927370786707)"
45,4,5,"(0.008413851261138916, 0.006171882152557373)","(0.8928101077412421, 0.010135873731885986)"
46,4,6,"(0.0006496906280517578, 0.0004343688488006592)","(0.010914968483579, 0.005141832740339193)"
47,4,7,"(0.0004851222038269043, 0.0007460415363311768)","(0.005068234211197095, 0.007485234437472826)"
48,4,8,"(0.000882565975189209, 0.0005468130111694336)","(0.005505763833340601, 0.0052432269304185765)"
49,4,9,"(0.0017168521881103516, 0.000538945198059082)","(0.013316392390409179, 0.005228169455190793)"
50,5,0,"(0.9392975866794586, 0.0009498298168182373)","(0.8116364394939387, 0.02238532925254516)"
51,5,1,"(0.0013302862644195557, 0.0004350244998931885)","(0.0077977388527170725, 0.006080141158542727)"
52,5,2,"(0.010640174150466919, 0.0005079805850982666)","(0.0279778224330847, 0.00918777981504185)"
53,5,3,"(0.9464350938796997, 0.0004489421844482422)","(0.9345581679301319, 0.006478210740061157)"
54,5,4,"(0.006293296813964844, 0.0006838738918304443)","(0.1315467296567063, 0.03081654591311655)"
55,5,5,"(0.001323699951171875, 0.000477522611618042)","(0.13059384215297618, 0.005524374193539081)"
56,5,6,"(0.001392066478729248, 0.0004917383193969727)","(0.019792539990628417, 0.010274448285703671)"
57,5,7,"(0.003413647413253784, 0.0005559623241424561)","(0.8343944336230119, 0.00867446856283401)"
58,5,8,"(0.0004902482032775879, 0.0003985464572906494)","(0.005219251683203026, 0.005092386517616655)"
59,5,9,"(0.0007960498332977295, 0.00046822428703308105)","(0.009503614979809439, 0.005243965637955829)"
60,6,0,"(0.0006505250930786133, 0.0004940032958984375)","(0.005763915194585311, 0.005285872465047079)"
61,6,1,"(0.0005798637866973877, 0.005730122327804565)","(0.005554758759074664, 0.006270541362662239)"
62,6,2,"(0.24759134650230408, 0.00045883655548095703)","(0.8665143800374712, 0.0052959533460936025)"
63,6,3,"(0.06479912996292114, 0.0030526816844940186)","(0.3280494105553639, 0.05491538490828843)"
64,6,4,"(0.908751368522644, 0.0004723966121673584)","(0.1230393364700366, 0.006997659535233222)"
65,6,5,"(0.002511531114578247, 0.0011272728443145752)","(0.9049802851216997, 0.03919932641314781)"
66,6,6,"(0.0007599890232086182, 0.00045174360275268555)","(0.005759817732561768, 0.005231808803797431)"
67,6,7,"(0.003567636013031006, 0.0004240870475769043)","(0.039694585279190724, 0.005679039376822804)"
68,6,8,"(0.16471025347709656, 0.000874251127243042)","(0.22174497527110085, 0.014830972950391234)"
69,6,9,"(0.0005229711532592773, 0.00042957067489624023)","(0.023499596979053666, 0.00642055133377863)"
70,7,0,"(0.10654619336128235, 0.0005068480968475342)","(0.9587825528302056, 0.012345242495335978)"
71,7,1,"(0.002417922019958496, 0.0004566311836242676)","(0.007028688001137217, 0.005314064977991018)"
72,7,2,"(0.001146554946899414, 0.00047728419303894043)","(0.008144222088311871, 0.005435659787153923)"
73,7,3,"(0.017296165227890015, 0.00044080615043640137)","(0.005291669711771778, 0.005161099292674897)"
74,7,4,"(0.9094409346580505, 0.00047770142555236816)","(0.30188705507533353, 0.006295701658380945)"
75,7,5,"(0.9738299250602722, 0.0004266500473022461)","(0.9642907164014947, 0.005217986730622218)"
76,7,6,"(0.9785359501838684, 0.0004706084728240967)","(0.9764778406720558, 0.0055187761520908265)"
77,7,7,"(0.0007199347019195557, 0.000485837459564209)","(0.00531168869575974, 0.0051850547572280204)"
78,7,8,"(0.031263500452041626, 0.001302957534790039)","(0.81274655563354, 0.03144824432610882)"
79,7,9,"(0.0007866024971008301, 0.0004686415195465088)","(0.005025568570306946, 0.005177300470636184)"
80,8,0,"(0.07622575759887695, 0.0006928443908691406)","(0.21831610837966797, 0.03920882782508204)"
81,8,1,"(0.09774380922317505, 0.0005016028881072998)","(0.9211160482129991, 0.07787962817617015)"
82,8,2,"(0.0007990896701812744, 0.0004500150680541992)","(0.006127660962411674, 0.005498638059993561)"
83,8,3,"(0.18814870715141296, 0.00045037269592285156)","(0.20655133635677608, 0.006243968874927248)"
84,8,4,"(0.007839381694793701, 0.0005140900611877441)","(0.17419587005793358, 0.006044272713210186)"
85,8,5,"(0.07951083779335022, 0.00045055150985717773)","(0.18986823433682987, 0.006408018704211075)"
86,8,6,"(0.004775911569595337, 0.0005253255367279053)","(0.03240317768309094, 0.006364158648070724)"
87,8,7,"(0.0005775094032287598, 0.0004452168941497803)","(0.0054696091948541374, 0.004948126741002582)"
88,8,8,"(0.0014835596084594727, 0.00046876072883605957)","(0.005658582732776767, 0.005584867237223151)"
89,8,9,"(0.007433772087097168, 0.0005207657814025879)","(0.11108744750040052, 0.009152655453974552)"
90,9,0,"(0.004429906606674194, 0.0004813075065612793)","(0.005476178142783837, 0.005262080123077055)"
91,9,1,"(0.0070355236530303955, 0.00041556358337402344)","(0.005169118778276349, 0.005009583111805396)"
92,9,2,"(0.9800736904144287, 0.0005597174167633057)","(0.9801280926483923, 0.005124742681340447)"
93,9,3,"(0.07594022154808044, 0.0004437267780303955)","(0.1763948511157833, 0.00634385234096541)"
94,9,4,"(0.973780632019043, 0.00046947598457336426)","(0.9328494011350661, 0.005361823467156543)"
95,9,5,"(0.00296977162361145, 0.00043454766273498535)","(0.009994816994885023, 0.005009404855807978)"
96,9,6,"(0.9734055399894714, 0.00048100948333740234)","(0.9574843487966813, 0.006412009243806913)"
97,9,7,"(0.0006131231784820557, 0.0006781518459320068)","(0.006225070128148031, 0.012554481382330415)"
98,9,8,"(0.004758298397064209, 0.0005383789539337158)","(0.005593305436325757, 0.005088334286610115)"
99,9,9,"(0.0007460415363311768, 0.0004419982433319092)","(0.13322382633630195, 0.005406420554153538)"
100,10,0,"(0.003867506980895996, 0.0005238056182861328)","(0.08163246937928899, 0.013985979171395293)"
101,10,1,"(0.0009800493717193604, 0.000486910343170166)","(0.005084799056118241, 0.005271555745090769)"
102,10,2,"(0.0024124979972839355, 0.004864931106567383)","(0.007527601093831693, 0.006364797935066086)"
103,10,3,"(0.9731376767158508, 0.0004844069480895996)","(0.9593782701465745, 0.005470078701299117)"
104,10,4,"(0.9633694589138031, 0.00047835707664489746)","(0.8246243167555631, 0.006395140717123864)"
105,10,5,"(0.0016838014125823975, 0.0004285573959350586)","(0.005714798154690692, 0.005450254321445348)"
106,10,6,"(0.03356742858886719, 0.0005397796630859375)","(0.7381161142672361, 0.005777273881965546)"
107,10,7,"(0.0917099118232727, 0.0005029737949371338)","(0.9177238612328117, 0.006672147561110928)"
108,10,8,"(0.0013660192489624023, 0.0005415081977844238)","(0.02898087127644873, 0.00523599207872034)"
109,10,9,"(0.0048566460609436035, 0.00042939186096191406)","(0.0915750022437145, 0.006005084203018096)"
110,11,0,"(0.016379177570343018, 0.0005650818347930908)","(0.9557416459194956, 0.005698596813888991)"
111,11,1,"(0.003678351640701294, 0.0005174875259399414)","(0.9805849053625253, 0.005812906259468797)"
112,11,2,"(0.0005718469619750977, 0.0004279613494873047)","(0.007669942020834369, 0.006361535827048898)"
113,11,3,"(0.0009198486804962158, 0.0004578828811645508)","(0.0053242498436455316, 0.005615441520918044)"
114,11,4,"(0.0033116042613983154, 0.0005016028881072998)","(0.032875169962375966, 0.00588265786273351)"
115,11,5,"(0.0018216073513031006, 0.0004744231700897217)","(0.05443476036681689, 0.006205213664922777)"
116,11,6,"(0.9778859317302704, 0.00047978758811950684)","(0.9779657785413909, 0.005458065735190541)"
117,11,7,"(0.0036189258098602295, 0.0004792511463165283)","(0.9807672027035998, 0.006339873909145518)"
118,11,8,"(0.0012131035327911377, 0.0005304515361785889)","(0.006873064007131771, 0.005024760345521422)"
