,conversation id,turn,score distilbert,score roberta
0,0,0,"(0.9829798340797424, 0.9572484493255615)","(0.979416876650957, 0.9559232632824614)"
1,0,1,"(0.9799949526786804, 0.0005694031715393066)","(0.9767249112873558, 0.005082437967382664)"
2,0,2,"(0.9815181195735931, 0.0005271732807159424)","(0.9792025757850056, 0.005657702791770944)"
3,0,3,"(0.9757478535175323, 0.000507742166519165)","(0.971342035012383, 0.012608809512313251)"
4,0,4,"(0.9739713370800018, 0.0008144676685333252)","(0.9398849593591247, 0.004958917069531567)"
5,0,5,"(0.22715777158737183, 0.000977635383605957)","(0.8123598153261544, 0.015773504950374575)"
6,0,6,"(0.8380619287490845, 0.123253732919693)","(0.2357740808006519, 0.055472338528242036)"
7,0,7,"(0.8389346599578857, 0.9231232404708862)","(0.6491708316083004, 0.21897801611193668)"
8,0,8,"(0.0942467749118805, 0.000811457633972168)","(0.1220572951867337, 0.08396332294246191)"
9,0,9,"(0.9726818799972534, 0.004489809274673462)","(0.9782488561722116, 0.8792548656705991)"
10,1,0,"(0.9765762686729431, 0.0005139708518981934)","(0.9708888656575109, 0.005087129861909612)"
11,1,1,"(0.086629718542099, 0.7599683701992035)","(0.34018796604422225, 0.05214833746607071)"
12,1,2,"(0.9747374653816223, 0.002038896083831787)","(0.9677314782902672, 0.03273630871638366)"
13,1,3,"(0.07597675919532776, 0.19087430834770203)","(0.6670799963524389, 0.7485508798499375)"
14,1,4,"(0.9694607853889465, 0.8336161971092224)","(0.9456181804005009, 0.9532229140948438)"
15,1,5,"(0.9788323938846588, 0.0007548928260803223)","(0.9771179546257945, 0.01359889803364395)"
16,1,6,"(0.9642901122570038, 0.001099616289138794)","(0.9371919182022223, 0.005509603184329281)"
17,1,7,"(0.9798531234264374, 0.0005782246589660645)","(0.9757408614936499, 0.006027554351202784)"
18,1,8,"(0.9757906496524811, 0.09874695539474487)","(0.9549844786491747, 0.9334430321891303)"
19,1,9,"(0.9739385545253754, 0.0010085105895996094)","(0.9219397499322607, 0.005241563352199377)"
20,2,0,"(0.9727093875408173, 0.0005210041999816895)","(0.9673476425586253, 0.008658712515617006)"
21,2,1,"(0.9729211926460266, 0.00039267539978027344)","(0.9786303693374236, 0.00888031941159989)"
22,2,2,"(0.9766482710838318, 0.9627242684364319)","(0.9544484722931267, 0.21032297810176737)"
23,2,3,"(0.9766737818717957, 0.0005654990673065186)","(0.9475219812171722, 0.005440841113557654)"
24,2,4,"(0.9802066385746002, 0.17599043250083923)","(0.9749292396061177, 0.8183779461594558)"
25,2,5,"(0.9291013479232788, 0.0006165504455566406)","(0.8725559891375869, 0.005903740656041406)"
26,2,6,"(0.9771251380443573, 0.8801776766777039)","(0.8763198389649391, 0.9285490120964999)"
27,2,7,"(0.9788945317268372, 0.07916602492332458)","(0.9582738970293484, 0.10075858054059184)"
28,2,8,"(0.9715408086776733, 0.0006720423698425293)","(0.9555921881451915, 0.005495043434386001)"
29,2,9,"(0.9753003418445587, 0.9733178317546844)","(0.963237541954237, 0.37368481175795804)"
30,3,0,"(0.9792825281620026, 0.9737418293952942)","(0.9759493684993196, 0.9383916689493086)"
31,3,1,"(0.9751285314559937, 0.0005093514919281006)","(0.9432858218640517, 0.0057545171864496975)"
32,3,2,"(0.9708069860935211, 0.0010560452938079834)","(0.9571816655367625, 0.022099800687609073)"
33,3,3,"(0.980227530002594, 0.0005356967449188232)","(0.9803494474364817, 0.005112591587920958)"
34,3,4,"(0.980437844991684, 0.0008091330528259277)","(0.9473607905668758, 0.005174501443000303)"
35,3,5,"(0.9743277728557587, 0.0011899173259735107)","(0.8282594423015711, 0.005324045299633979)"
36,3,6,"(0.8344569206237793, 0.06334960460662842)","(0.9635767803414306, 0.26430863374358926)"
37,3,7,"(0.9811049103736877, 0.00045609474182128906)","(0.9719622048375376, 0.00610654163375141)"
38,3,8,"(0.9759458303451538, 0.0012671351432800293)","(0.9663748595584568, 0.005122163882660668)"
39,3,9,"(0.978925883769989, 0.9255755543708801)","(0.9770655382286205, 0.8888394536016299)"
40,4,0,"(0.9698081016540527, 0.8315610289573669)","(0.9306140611192907, 0.7520618128129014)"
41,4,1,"(0.97798952460289, 0.0004888772964477539)","(0.9558109285175741, 0.00507862972629009)"
42,4,2,"(0.7630886435508728, 0.0015335679054260254)","(0.8859227497614788, 0.06708497494216835)"
43,4,3,"(0.1965560019016266, 0.0006574094295501709)","(0.957029322587245, 0.03955519750728164)"
44,4,4,"(0.9832524359226227, 0.0018072128295898438)","(0.9770804019680515, 0.005572386919894928)"
