,conversation id,turn,score distilbert,score roberta
0,0,0,"(0.9805824458599091, 0.9429695308208466)","(0.9770958325633325, 0.8846712227544774)"
1,0,1,"(0.9822642803192139, 0.0007202327251434326)","(0.9796821878954118, 0.006916190560391465)"
2,0,2,"(0.9816301465034485, 0.978016197681427)","(0.9780751899183414, 0.9523665061571822)"
3,0,3,"(0.9794291257858276, 0.00044158101081848145)","(0.9683475032782285, 0.005132759534446519)"
4,0,4,"(0.9802525639533997, 0.9756547510623932)","(0.9632313530014216, 0.9221546429323232)"
5,0,5,"(0.9673642218112946, 0.00045949220657348633)","(0.975719683646429, 0.015597976659301642)"
6,0,6,"(0.976528525352478, 0.0012652873992919922)","(0.9693130731806107, 0.005123663366239063)"
7,0,7,"(0.9787678420543671, 0.9461653530597687)","(0.9723043170048329, 0.9386184597920605)"
8,0,8,"(0.9754637479782104, 0.000467449426651001)","(0.9783578976453077, 0.005316661701286249)"
9,0,9,"(0.021458864212036133, 0.00046378374099731445)","(0.011439107175320372, 0.006782790256318221)"
10,1,0,"(0.9753235578536987, 0.9733638167381287)","(0.10954941006992425, 0.8096991960808565)"
11,1,1,"(0.9810135066509247, 0.9450929462909698)","(0.9713811727096062, 0.9569367292153946)"
12,1,2,"(0.9805709421634674, 0.8009459674358368)","(0.9797627085016953, 0.6362678957400898)"
13,1,3,"(0.9834794998168945, 0.0010407865047454834)","(0.9780006359608772, 0.034127505137944436)"
14,1,4,"(0.13823425769805908, 0.005270183086395264)","(0.8765202225354309, 0.08510240489821354)"
15,1,5,"(0.9812290072441101, 0.057192325592041016)","(0.9708891015070772, 0.9495394791414147)"
16,1,6,"(0.9362334907054901, 0.009519517421722412)","(0.8726412559030938, 0.11519473920074548)"
17,1,7,"(0.973567545413971, 0.01854318380355835)","(0.942790893103683, 0.7805067319164878)"
18,1,8,"(0.9816711246967316, 0.0004200935363769531)","(0.9769492045474817, 0.043482839267468334)"
19,1,9,"(0.9505670070648193, 0.0910426676273346)","(0.9492405439156233, 0.24423137551885069)"
20,2,0,"(0.9805942475795746, 0.050192683935165405)","(0.9763356164212662, 0.019499837864927188)"
21,2,1,"(0.9806390106678009, 0.13479536771774292)","(0.9771624926479066, 0.16010117601109658)"
22,2,2,"(0.9745514392852783, 0.9711974859237671)","(0.9576763846593109, 0.9663068184778107)"
23,2,3,"(0.978145033121109, 0.00043717026710510254)","(0.9748168567564309, 0.005209066468979305)"
24,2,4,"(0.24487894773483276, 0.9645683765411377)","(0.8241175770465673, 0.9446283855644436)"
25,2,5,"(0.9692023396492004, 0.01433977484703064)","(0.9303709958325705, 0.2720767249927552)"
26,2,6,"(0.9532848298549652, 0.009745001792907715)","(0.030727269459246687, 0.029636434942661518)"
27,2,7,"(0.9814643263816833, 0.9814643263816833)","(0.979044594983533, 0.979044594983533)"
28,2,8,"(0.9744224548339844, 0.0005814731121063232)","(0.8872605075055741, 0.00495372698960796)"
29,2,9,"(0.9819777607917786, 0.1601833999156952)","(0.9719919471687013, 0.04332260621536065)"
30,3,0,"(0.9823799729347229, 0.9667408466339111)","(0.9795898353054832, 0.950528302023415)"
31,3,1,"(0.9792076349258423, 0.0007119178771972656)","(0.9768204159827637, 0.07053158212739025)"
32,3,2,"(0.9754198789596558, 0.0007869601249694824)","(0.9605376837184667, 0.005598893697227903)"
33,3,3,"(0.23342245817184448, 0.0005642473697662354)","(0.6748926439431805, 0.013661807779307191)"
34,3,4,"(0.014180958271026611, 0.018705099821090698)","(0.928596609810859, 0.9122477755042585)"
35,3,5,"(0.9758083522319794, 0.9362125098705292)","(0.9607557514318075, 0.9337672331240447)"
36,3,6,"(0.977377712726593, 0.9098916947841644)","(0.9577201297515299, 0.9531377831394316)"
37,3,7,"(0.9777809679508209, 0.001149982213973999)","(0.9630141581984145, 0.6952859078356087)"
38,3,8,"(0.9779622256755829, 0.0005407929420471191)","(0.9708422186477345, 0.005250140503376449)"
