,conversation id,turn,score distilbert,score roberta
0,0,0,"(0.010503500699996948, 0.0005027949810028076)","(0.031164332816532338, 0.007037132798397185)"
1,0,1,"(0.0006281435489654541, 0.00045168399810791016)","(0.005166446690826317, 0.005767238997262246)"
2,0,2,"(0.0008618831634521484, 0.00046259164810180664)","(0.005370234663585407, 0.005065587573209678)"
3,0,3,"(0.0010273754596710205, 0.0004356205463409424)","(0.01110572501750912, 0.005404569629171404)"
4,0,4,"(0.0009209811687469482, 0.0004961788654327393)","(0.005049180814593289, 0.005233640594392469)"
5,0,5,"(0.0011813640594482422, 0.00045365095138549805)","(0.00501243130996514, 0.006054003327194593)"
6,0,6,"(0.0012604296207427979, 0.00048035383224487305)","(0.00545603421465376, 0.006724568682671968)"
7,0,7,"(0.0044796764850616455, 0.0004296302795410156)","(0.1531087206003789, 0.0059205834975876994)"
8,0,8,"(0.9731376767158508, 0.00045412778854370117)","(0.9593782701465745, 0.005961582914840094)"
9,0,9,"(0.0010395944118499756, 0.00047072768211364746)","(0.02117318185499749, 0.005297709477114851)"
10,1,0,"(0.0016037523746490479, 0.00045943260192871094)","(0.006084283433091281, 0.005276503889707472)"
11,1,1,"(0.0008885562419891357, 0.0021324753761291504)","(0.006197805022730437, 0.009764856681818479)"
12,1,2,"(0.8364135921001434, 0.000491023063659668)","(0.9494203689397682, 0.024186589843060213)"
13,1,3,"(0.0018818080425262451, 0.0005511045455932617)","(0.010741656563199968, 0.007055789591457961)"
14,1,4,"(0.019429773092269897, 0.0005879700183868408)","(0.8488187354509898, 0.006800935178178093)"
15,1,5,"(0.0007643997669219971, 0.0005362927913665771)","(0.006940570307958287, 0.005717020337344211)"
16,1,6,"(0.010437071323394775, 0.0004438459873199463)","(0.008193941324080908, 0.00531270409317014)"
17,1,7,"(0.0006090104579925537, 0.0007101297378540039)","(0.0053931882673316865, 0.0051880711079954605)"
18,1,8,"(0.0006327331066131592, 0.00043010711669921875)","(0.009539086530780559, 0.005742313292021457)"
19,1,9,"(0.9603312015533447, 0.004094719886779785)","(0.15831494601232507, 0.007212829752534174)"
20,2,0,"(0.14291706681251526, 0.0004367530345916748)","(0.1338597338252086, 0.0056841656904617534)"
21,2,1,"(0.0006332695484161377, 0.0007755756378173828)","(0.010257747568234029, 0.0063692686954232745)"
22,2,2,"(0.0837806761264801, 0.0004928708076477051)","(0.916247630114668, 0.005801187015665584)"
23,2,3,"(0.11244091391563416, 0.0005045235157012939)","(0.9406014640129282, 0.005635489234791181)"
24,2,4,"(0.08816894888877869, 0.0004959404468536377)","(0.19890334441717392, 0.0067450534337524706)"
25,2,5,"(0.03523457050323486, 0.0012359321117401123)","(0.2800453327018195, 0.014390523722144808)"
26,2,6,"(0.9075660705566406, 0.00053367018699646)","(0.07470539691438843, 0.010898302033885868)"
27,2,7,"(0.10267719626426697, 0.00045800209045410156)","(0.8315671718408595, 0.006076580525860329)"
28,2,8,"(0.0006260871887207031, 0.0004329979419708252)","(0.006989854189623191, 0.006172308085873918)"
29,2,9,"(0.9768850207328796, 0.0004628300666809082)","(0.9720996196296978, 0.006960103235875199)"
30,3,0,"(0.03114539384841919, 0.00048100948333740234)","(0.053315596168185764, 0.006299831648347766)"
31,3,1,"(0.0014293789863586426, 0.0006632208824157715)","(0.007117990559263363, 0.00592633947805264)"
32,3,2,"(0.001152724027633667, 0.0005076229572296143)","(0.006614750321919585, 0.005323499887147246)"
33,3,3,"(0.807682603597641, 0.0004850625991821289)","(0.9654713733197635, 0.006233914165626134)"
34,3,4,"(0.0007368326187133789, 0.0005292594432830811)","(0.0053245099541097615, 0.005913596757935734)"
35,3,5,"(0.0012466609477996826, 0.0005207061767578125)","(0.007983907300361366, 0.005121072960803378)"
36,3,6,"(0.000821918249130249, 0.00045669078826904297)","(0.0702484247040881, 0.005353148625019309)"
37,3,7,"(0.0025480985641479492, 0.0004437267780303955)","(0.05360958369161938, 0.0053965656186797765)"
38,3,8,"(0.011110812425613403, 0.00047150254249572754)","(0.12199816211889414, 0.006437050335022384)"
39,3,9,"(0.000977635383605957, 0.00047084689140319824)","(0.047972573035449904, 0.0064122006330626456)"
40,4,0,"(0.1324840486049652, 0.00045818090438842773)","(0.16467211786346697, 0.005134198777653536)"
41,4,1,"(0.001844257116317749, 0.02533787488937378)","(0.017292144319793888, 0.012413130155852476)"
42,4,2,"(0.9661377668380737, 0.00045239925384521484)","(0.9744862301733713, 0.006235796165759125)"
43,4,3,"(0.1190042495727539, 0.00044485926628112793)","(0.9584393453208415, 0.014885917763309803)"
44,4,4,"(0.003395766019821167, 0.0005725622177124023)","(0.1441203241005647, 0.017414158159004173)"
45,4,5,"(0.8378400504589081, 0.0015865862369537354)","(0.9470948312997316, 0.008967638137291104)"
46,4,6,"(0.9795457720756531, 0.0005149245262145996)","(0.9769309158288945, 0.006212363208710775)"
47,4,7,"(0.0006343424320220947, 0.00046697258949279785)","(0.005770367735479434, 0.005683747978408776)"
48,4,8,"(0.00041165947914123535, 0.0005236268043518066)","(0.009298830864845708, 0.005423801735936627)"
49,4,9,"(0.8386278450489044, 0.00044152140617370605)","(0.14007294155971467, 0.005366883883681487)"
50,5,0,"(0.9781971871852875, 0.0004445016384124756)","(0.9763815194355842, 0.005451324499673367)"
51,5,1,"(0.007517606019973755, 0.0004936456680297852)","(0.9390422220696969, 0.007877735248148178)"
52,5,2,"(0.9828459918498993, 0.0005631744861602783)","(0.98028137423456, 0.006175148929401493)"
53,5,3,"(0.0007874965667724609, 0.0007104873657226562)","(0.0050845095892253275, 0.005069378869347931)"
54,5,4,"(0.0018236637115478516, 0.027044624090194702)","(0.018549303146683353, 0.010637530490900639)"
55,5,5,"(0.0006558597087860107, 0.0003935694694519043)","(0.005206475096660964, 0.004988703654203987)"
56,5,6,"(0.0006558597087860107, 0.00037023425102233887)","(0.005206475096660964, 0.00498147552475714)"
57,5,7,"(0.00464862585067749, 0.0004413425922393799)","(0.0059568177563885, 0.004991738979623)"
58,5,8,"(0.032670050859451294, 0.0004922151565551758)","(0.44320759478467403, 0.010810429945054312)"
59,5,9,"(0.8362720608711243, 0.000482022762298584)","(0.09313790193073923, 0.013638227162477467)"
60,6,0,"(0.975038081407547, 0.0018506348133087158)","(0.7429455766840228, 0.008869225582514177)"
61,6,1,"(0.9294708669185638, 0.00045812129974365234)","(0.9558389446915683, 0.0060875600345264595)"
62,6,2,"(0.9810914099216461, 0.0004852414131164551)","(0.9789507969422947, 0.005293042811059237)"
63,6,3,"(0.9737199246883392, 0.0005100667476654053)","(0.9567104055388822, 0.007564042848613799)"
64,6,4,"(0.966510146856308, 0.0004948973655700684)","(0.976078330446606, 0.005609501690219021)"
65,6,5,"(0.003529191017150879, 0.0005974769592285156)","(0.9810938276049901, 0.006932053472273167)"
66,6,6,"(0.001162201166152954, 0.006008028984069824)","(0.006291955961488285, 0.008062132620292381)"
67,6,7,"(0.0015906095504760742, 0.0004793703556060791)","(0.006510629534925289, 0.00517943512701333)"
68,6,8,"(0.0007913112640380859, 0.00041237473487854004)","(0.005335681362165737, 0.00508076729426462)"
