,conversation id,turn,score distilbert,score roberta
0,0,0,"(0.9813267588615417, 0.0005521774291992188)","(0.9706931075722953, 0.04569094080683522)"
1,0,1,"(0.9771127998828888, 0.00045555830001831055)","(0.9680745403349462, 0.005503939116259246)"
2,0,2,"(0.981160432100296, 0.0004318058490753174)","(0.9727350149954875, 0.005072958787435678)"
3,0,3,"(0.9792585968971252, 0.000464022159576416)","(0.9708342199488503, 0.00521694727191376)"
4,0,4,"(0.9717614948749542, 0.0005117654800415039)","(0.8721147913936965, 0.02318340095238555)"
5,0,5,"(0.9804082810878754, 0.00044989585876464844)","(0.9799327128613499, 0.005115299058208835)"
6,0,6,"(0.023378878831863403, 0.0011698007583618164)","(0.0324042242257727, 0.006634242822357908)"
7,0,7,"(0.9757470488548279, 0.019765853881835938)","(0.9166948601664314, 0.034317065979718654)"
8,0,8,"(0.9781717360019684, 0.0005030333995819092)","(0.9563704609282244, 0.006319728438928709)"
9,0,9,"(0.9790960252285004, 0.0039023160934448242)","(0.9143713045576413, 0.014030019501500332)"
10,1,0,"(0.9824831783771515, 0.15964573621749878)","(0.9789790716496608, 0.1274147570414768)"
11,1,1,"(0.9643014669418335, 0.00044354796409606934)","(0.9126563803933728, 0.005994658848443337)"
12,1,2,"(0.9790209829807281, 0.0004634261131286621)","(0.9428616558076258, 0.005747392847085456)"
13,1,3,"(0.9819814264774323, 0.005608230829238892)","(0.9771945428688944, 0.0057502028185436455)"
14,1,4,"(0.769318163394928, 0.011355668306350708)","(0.041078462454379634, 0.006428474253785743)"
15,1,5,"(0.9810670018196106, 0.00043895840644836426)","(0.9666434860067374, 0.00513005503842284)"
16,1,6,"(0.8054980635643005, 0.0005332529544830322)","(0.9564276176792731, 0.04334690129311468)"
17,1,7,"(0.9771443903446198, 0.00046122074127197266)","(0.9688599964544287, 0.005764830690244772)"
18,1,8,"(0.9775108993053436, 0.00047525763511657715)","(0.9775192408096901, 0.005695957745575501)"
19,1,9,"(0.978238046169281, 0.0004817843437194824)","(0.9621892536531146, 0.011561859832199536)"
20,2,0,"(0.9497314989566803, 0.00044545531272888184)","(0.9614061102676954, 0.005272556008550548)"
21,2,1,"(0.9802637696266174, 0.0004959404468536377)","(0.9806914668614503, 0.00837838907691902)"
22,2,2,"(0.9751621782779694, 0.00044032931327819824)","(0.9455071771765249, 0.005687570507827763)"
23,2,3,"(0.9810480773448944, 0.0004870295524597168)","(0.9492690488247951, 0.005196938347444398)"
24,2,4,"(0.9696266353130341, 0.0004221200942993164)","(0.2337346240681116, 0.005555994242812963)"
25,2,5,"(0.9196900129318237, 0.006188154220581055)","(0.12899588307527463, 0.00815325962242557)"
26,2,6,"(0.9623901844024658, 0.001141369342803955)","(0.9658211544315045, 0.010935568804453174)"
27,2,7,"(0.9773494005203247, 0.0007211267948150635)","(0.9726356593920517, 0.005269973213855948)"
28,2,8,"(0.9783505201339722, 0.0005348026752471924)","(0.9673831087450584, 0.005092229488242479)"
29,2,9,"(0.9769657254219055, 0.00044977664947509766)","(0.9795449883386192, 0.005279628250509329)"
30,3,0,"(0.9812228381633759, 0.0004353821277618408)","(0.9714277372766473, 0.0051014782671794335)"
31,3,1,"(0.9663029909133911, 0.002349674701690674)","(0.1978558622492521, 0.011683403173310989)"
