,conversation id,turn,score distilbert,score roberta
0,0,0,"(0.9661619663238525, 0.006906688213348389)","(0.97301780311555, 0.06288950062611891)"
1,0,1,"(0.7536585330963135, 0.0004660189151763916)","(0.17194946699065788, 0.006907327267259005)"
2,0,2,"(0.0007049143314361572, 0.0005321204662322998)","(0.00560979161744335, 0.005482000974314945)"
3,0,3,"(0.0008106827735900879, 0.00041729211807250977)","(0.005606425124135684, 0.004966251651685636)"
4,0,4,"(0.006477862596511841, 0.0004986822605133057)","(0.16913819156798426, 0.006536864509366719)"
5,0,5,"(0.0010060667991638184, 0.000428617000579834)","(0.005299604436648607, 0.005241217771785784)"
6,0,6,"(0.005240321159362793, 0.000448763370513916)","(0.1107714924484564, 0.008635841917811539)"
7,0,7,"(0.8372173607349396, 0.00045931339263916016)","(0.9460023789003028, 0.005498189581687132)"
8,0,8,"(0.9736157357692719, 0.0012107789516448975)","(0.9489058320261082, 0.005371747779144926)"
9,0,9,"(0.9766764938831329, 0.00048464536666870117)","(0.9564713341926833, 0.005191502913124637)"
10,1,0,"(0.9600999057292938, 0.00042498111724853516)","(0.12583898540970487, 0.005363306244704824)"
11,1,1,"(0.05736467242240906, 0.000500112771987915)","(0.7538953038818048, 0.005278997221723668)"
12,1,2,"(0.9700596928596497, 0.0005429387092590332)","(0.9065903485510073, 0.005199182174653457)"
13,1,3,"(0.8276111483573914, 0.0005254447460174561)","(0.9559599450105706, 0.010920900404721573)"
14,1,4,"(0.9738592505455017, 0.0004684031009674072)","(0.9505541380289917, 0.006383640264868337)"
15,1,5,"(0.9813120067119598, 0.8354440927505493)","(0.9780505844647432, 0.252019583103297)"
16,1,6,"(0.9812097549438477, 0.0004903078079223633)","(0.9780606601044194, 0.005720130124483291)"
17,1,7,"(0.9760627746582031, 0.0005582869052886963)","(0.9728421091451988, 0.006093561103621942)"
18,1,8,"(0.001759558916091919, 0.00047090649604797363)","(0.11446868622542931, 0.006134230385740126)"
19,1,9,"(0.000811159610748291, 0.0037319064140319824)","(0.005280306940591296, 0.006516134232689659)"
20,2,0,"(0.09180507063865662, 0.0013940632343292236)","(0.3839941388005854, 0.007583382510748152)"
21,2,1,"(0.9837344288825989, 0.00047728419303894043)","(0.979161274778663, 0.005110001902991091)"
22,2,2,"(0.03153127431869507, 0.00047591328620910645)","(0.014180869589192487, 0.006261194708240459)"
23,2,3,"(0.9098480641841888, 0.00047770142555236816)","(0.9349539439801359, 0.005082912991535179)"
24,2,4,"(0.017070680856704712, 0.025955617427825928)","(0.05094340178686531, 0.012786335202818362)"
