,conversation id,turn,score distilbert,score roberta
0,0,0,"(0.02695441246032715, 0.008131146430969238)","(0.9262145224891102, 0.015989898649342773)"
1,0,1,"(0.0009216964244842529, 0.00038635730743408203)","(0.005881141075840398, 0.0052268378898257676)"
2,0,2,"(0.9785951375961304, 0.0008040368556976318)","(0.9773104707416262, 0.005952600913600947)"
3,0,3,"(0.0005368292331695557, 0.0005058944225311279)","(0.006326259662639421, 0.005889538469878219)"
4,0,4,"(0.0020222067832946777, 0.0005455613136291504)","(0.1444856281535537, 0.005851929814890665)"
5,0,5,"(0.7844370901584625, 0.0008724629878997803)","(0.036798778624149577, 0.007068525807598465)"
6,0,6,"(0.0026755034923553467, 0.0011230409145355225)","(0.005864726702957132, 0.005176556371624379)"
7,0,7,"(0.1200590431690216, 0.0005955696105957031)","(0.7471214594973733, 0.28557010721870746)"
8,0,8,"(0.8371228277683258, 0.04999905824661255)","(0.9504023802678194, 0.8386164960887169)"
9,0,9,"(0.07558345794677734, 0.0012658238410949707)","(0.04842601490286359, 0.007229405725988799)"
10,1,0,"(0.02834567427635193, 0.0025603175163269043)","(0.3261047824573897, 0.027270543686252306)"
11,1,1,"(0.0008255839347839355, 0.0008437633514404297)","(0.009719209891028611, 0.005698513058146139)"
12,1,2,"(0.9807842969894409, 0.0025285184383392334)","(0.9731443619729832, 0.038161590932064796)"
13,1,3,"(0.981795072555542, 0.0006549060344696045)","(0.9722927581469525, 0.005278897065323742)"
14,1,4,"(0.00101509690284729, 0.00116807222366333)","(0.09146454821059646, 0.009193163997268064)"
15,1,5,"(0.0006320178508758545, 0.0006629824638366699)","(0.005417788577604036, 0.005251233866452015)"
16,1,6,"(0.0005621612071990967, 0.000644385814666748)","(0.005288455485286557, 0.005803263766626113)"
17,1,7,"(0.17222878336906433, 0.0005623400211334229)","(0.4951698298966766, 0.015638759555493487)"
18,1,8,"(0.0005532205104827881, 0.0004488229751586914)","(0.006335447664875522, 0.005040841819511346)"
19,1,9,"(0.0009909868240356445, 0.0008959770202636719)","(0.005442608890580902, 0.005413519897237975)"
20,2,0,"(0.02821287512779236, 0.7589870989322662)","(0.017418907400208294, 0.9433677797786459)"
21,2,1,"(0.0007410943508148193, 0.0006636381149291992)","(0.005262821472749406, 0.010760207483144126)"
22,2,2,"(0.0006676912307739258, 0.002699136734008789)","(0.005396442769056604, 0.026789582066627196)"
23,2,3,"(0.018431782722473145, 0.0014484226703643799)","(0.03400984844805682, 0.023120367987704275)"
24,2,4,"(0.0006935000419616699, 0.0008053779602050781)","(0.00558575180544631, 0.005191800902272524)"
25,2,5,"(0.9790960252285004, 0.006638377904891968)","(0.9122892973881809, 0.09670658471607503)"
26,2,6,"(0.8391914367675781, 0.0006476044654846191)","(0.7341220165931898, 0.006421515688204723)"
27,2,7,"(0.0011583566665649414, 0.00044021010398864746)","(0.005156430034085421, 0.005333323290722511)"
28,2,8,"(0.0005995631217956543, 0.000844419002532959)","(0.005500523631233158, 0.004991930820860641)"
29,2,9,"(0.11990204453468323, 0.8319892287254333)","(0.7066573863116777, 0.17972127761671833)"
30,3,0,"(0.041142404079437256, 0.006477177143096924)","(0.8378986670380733, 0.07997845313220506)"
31,3,1,"(0.0007419288158416748, 0.00045758485794067383)","(0.0061432751371369755, 0.005075568321974913)"
32,3,2,"(0.0012773871421813965, 0.0019651055335998535)","(0.00671183445666357, 0.0054178373965477755)"
33,3,3,"(0.8365382552146912, 0.0005382001399993896)","(0.07283885567646474, 0.00522859602419539)"
34,3,4,"(0.0228099524974823, 0.0029506683349609375)","(0.03610856327720937, 0.09896869446917601)"
35,3,5,"(0.005024164915084839, 0.0007798373699188232)","(0.06233577380828778, 0.013842835186200173)"
36,3,6,"(0.000697404146194458, 0.0004062950611114502)","(0.004992077667258286, 0.005441135273331344)"
37,3,7,"(0.006510019302368164, 0.001289963722229004)","(0.024724713029330783, 0.007113617681349801)"
38,3,8,"(0.0034478604793548584, 0.0008498728275299072)","(0.016170637275615362, 0.009510264913573587)"
39,3,9,"(0.01566329598426819, 0.0004271268844604492)","(0.08531112070210255, 0.005020725925146301)"
40,4,0,"(0.012703031301498413, 0.0006423592567443848)","(0.09419755375760142, 0.09033730696302146)"
41,4,1,"(0.9399089515209198, 0.0004934072494506836)","(0.03316877366903929, 0.0071027206915417725)"
42,4,2,"(0.9534924924373627, 0.899038165807724)","(0.9564738554032649, 0.8950837577599761)"
43,4,3,"(0.028574436902999878, 0.011528372764587402)","(0.8729730321037752, 0.16240460235109969)"
44,4,4,"(0.0005913674831390381, 0.0003968775272369385)","(0.005153429539495047, 0.005229997497440846)"
45,4,5,"(0.9533269107341766, 0.7709885537624359)","(0.9610379119107697, 0.8812058507488741)"
46,4,6,"(0.9712243676185608, 0.9592679440975189)","(0.9188452371035951, 0.9213883115008246)"
47,4,7,"(0.003160804510116577, 0.9713041484355927)","(0.9808454515411748, 0.4116198310044118)"
48,4,8,"(0.965225875377655, 0.0004209280014038086)","(0.9289808063945941, 0.0056848206166013136)"
49,4,9,"(0.0004399120807647705, 0.00037783384323120117)","(0.0052078830235348945, 0.005383418597718107)"
50,5,0,"(0.022237569093704224, 0.022701561450958252)","(0.3070577583835212, 0.11002683929232983)"
51,5,1,"(0.9821968078613281, 0.9803356230258942)","(0.9736432216225752, 0.349565924767439)"
52,5,2,"(0.9800806641578674, 0.9790880084037781)","(0.9602357492003579, 0.9607141004889501)"
53,5,3,"(0.9735487997531891, 0.00039255619049072266)","(0.8955661003805913, 0.00501837300973645)"
54,5,4,"(0.9495491087436676, 0.7669378817081451)","(0.941544436372158, 0.8761394878783434)"
55,5,5,"(0.977481871843338, 0.016252845525741577)","(0.9663419335199394, 0.00552744530056587)"
56,5,6,"(0.9735822677612305, 0.0010883212089538574)","(0.9726626344589642, 0.006662338837008317)"
57,5,7,"(0.050844788551330566, 0.04132223129272461)","(0.8672124778945436, 0.26827733364053397)"
58,5,8,"(0.07490897178649902, 0.02268943190574646)","(0.9196779209718433, 0.22124370156275647)"
59,5,9,"(0.022661954164505005, 0.0014390051364898682)","(0.9283018567308643, 0.13427024553938796)"
60,6,0,"(0.0020178556442260742, 0.0009760260581970215)","(0.9167983626722634, 0.005657308472120209)"
61,6,1,"(0.0011944174766540527, 0.00042724609375)","(0.18842206986613316, 0.009493202570734199)"
62,6,2,"(0.004258066415786743, 0.0005365908145904541)","(0.005611004685562631, 0.007952573338074986)"
63,6,3,"(0.22747117280960083, 0.10378029942512512)","(0.928171275926483, 0.9472918004945025)"
64,6,4,"(0.07186850905418396, 0.0031837522983551025)","(0.8892708430366812, 0.005562336651391811)"
65,6,5,"(0.0006383359432220459, 0.00039711594581604004)","(0.017872200662232027, 0.0062864666751969505)"
66,6,6,"(0.0011855065822601318, 0.0004475414752960205)","(0.004992084772838156, 0.005089089912216694)"
67,6,7,"(0.0010589659214019775, 0.00047788023948669434)","(0.04084077501522037, 0.005247620902597454)"
