,conversation id,turn,score distilbert,score roberta
0,0,0,"(0.004701793193817139, 0.0004329383373260498)","(0.7018428240189544, 0.005413894749546136)"
1,0,1,"(0.9747035503387451, 0.0005187392234802246)","(0.9672841063637398, 0.0374781357896702)"
2,0,2,"(0.006897479295730591, 0.0004832744598388672)","(0.06180805446941905, 0.005288179568884407)"
3,0,3,"(0.03438770771026611, 0.0004131495952606201)","(0.015316786283970756, 0.006893005590026161)"
4,0,4,"(0.0007506012916564941, 0.0004433095455169678)","(0.006986191277513682, 0.005288172044092209)"
5,0,5,"(0.23575887084007263, 0.0007508993148803711)","(0.2286866698495908, 0.021060048528389393)"
6,0,6,"(0.9806650578975677, 0.0004450380802154541)","(0.9803349742884283, 0.005668711840187994)"
7,0,7,"(0.003407299518585205, 0.0005302131175994873)","(0.007546291163345444, 0.005475196584848816)"
8,0,8,"(0.8359702527523041, 0.005100548267364502)","(0.9350484598852005, 0.03685830060423948)"
9,0,9,"(0.0038177967071533203, 0.00047895312309265137)","(0.9613284083161583, 0.005960780453473133)"
10,1,0,"(0.19442149996757507, 0.000510871410369873)","(0.8933270833590621, 0.01024603872043002)"
11,1,1,"(0.9726484417915344, 0.0004906654357910156)","(0.9760010344509888, 0.008094817391530217)"
12,1,2,"(0.0006279349327087402, 0.0004705488681793213)","(0.008708276124767406, 0.005812729897492966)"
13,1,3,"(0.19519993662834167, 0.00042635202407836914)","(0.9485298903374781, 0.006750285004784879)"
14,1,4,"(0.001153707504272461, 0.0006072819232940674)","(0.005061169960635513, 0.005017465953918915)"
15,1,5,"(0.027420729398727417, 0.0006684660911560059)","(0.06391006957103008, 0.006387546113846101)"
16,1,6,"(0.0007497668266296387, 0.0006090700626373291)","(0.007169971047124011, 0.005254363281677283)"
17,1,7,"(0.0005254447460174561, 0.0004774630069732666)","(0.005564378507530657, 0.005052468478202999)"
18,1,8,"(0.002909451723098755, 0.000619053840637207)","(0.005874924642212068, 0.004978491288917286)"
19,1,9,"(0.0004920363426208496, 0.0037019550800323486)","(0.006530581323047978, 0.01042472610128976)"
20,2,0,"(0.0010896921157836914, 0.0005199909210205078)","(0.028780734488143264, 0.005328870579380801)"
21,2,1,"(0.9471906125545502, 0.001852959394454956)","(0.7035034288340063, 0.01023825144579476)"
22,2,2,"(0.0679260790348053, 0.000497668981552124)","(0.7834125678880344, 0.007883704105109744)"
23,2,3,"(0.001625657081604004, 0.000474780797958374)","(0.8158806210356178, 0.006668529991783997)"
24,2,4,"(0.009896308183670044, 0.0004424750804901123)","(0.0137789479770968, 0.005959376404426704)"
25,2,5,"(0.002165853977203369, 0.0005893409252166748)","(0.005782513025828288, 0.0049462911191753625)"
26,2,6,"(0.9741562902927399, 0.0004546642303466797)","(0.9748839786141196, 0.0060675844825230085)"
27,2,7,"(0.9766531884670258, 0.0005476474761962891)","(0.9690035671288673, 0.007037062827732963)"
28,2,8,"(0.009913265705108643, 0.00048553943634033203)","(0.0162385358927886, 0.0050339397454398195)"
29,2,9,"(0.9823715388774872, 0.00044730305671691895)","(0.9769258644659156, 0.006659351068523359)"
30,3,0,"(0.8286571800708771, 0.006490468978881836)","(0.8588576424141969, 0.04166604721014552)"
31,3,1,"(0.0006250143051147461, 0.011196434497833252)","(0.005472966657965029, 0.00663059541520968)"
32,3,2,"(0.0013212859630584717, 0.00045818090438842773)","(0.007269698329654572, 0.005021671687104676)"
33,3,3,"(0.0014808177947998047, 0.0004455745220184326)","(0.005093862829235186, 0.0053267807753115196)"
34,3,4,"(0.0021009743213653564, 0.0004521608352661133)","(0.028827128108006972, 0.006015168341671633)"
35,3,5,"(0.0026203691959381104, 0.0005096495151519775)","(0.28415590556256115, 0.005300046858465767)"
36,3,6,"(0.9733412265777588, 0.00041806697845458984)","(0.9605230045807702, 0.00559751601792773)"
37,3,7,"(0.0004973113536834717, 0.0004748404026031494)","(0.005348681987617925, 0.00518324234197364)"
38,3,8,"(0.000482022762298584, 0.00041356682777404785)","(0.0053196154314788194, 0.0052448114235111275)"
39,3,9,"(0.0017802417278289795, 0.00044408440589904785)","(0.8855791082877877, 0.005964590274280079)"
40,4,0,"(0.0008423924446105957, 0.00039017200469970703)","(0.01114550077756871, 0.005079581520330958)"
41,4,1,"(0.0004884004592895508, 0.00038492679595947266)","(0.006434675080125792, 0.0056554525861376576)"
42,4,2,"(0.00086936354637146, 0.0005269348621368408)","(0.005107088855913976, 0.0049986475160901205)"
43,4,3,"(0.9323174059391022, 0.00048744678497314453)","(0.7824360741020435, 0.00918650370104442)"
44,4,4,"(0.9524337351322174, 0.010755211114883423)","(0.9314891535561255, 0.05032221176661353)"
45,4,5,"(0.9507455825805664, 0.001566559076309204)","(0.15863455551192748, 0.00919670884179665)"
46,4,6,"(0.0028474032878875732, 0.0005010068416595459)","(0.059452813722418216, 0.00740904673792481)"
47,4,7,"(0.0014956295490264893, 0.0005113482475280762)","(0.0054418655804379405, 0.005116857227702784)"
48,4,8,"(0.0039331912994384766, 0.0004692971706390381)","(0.8996105396479588, 0.005226329653107188)"
49,4,9,"(0.006460666656494141, 0.0004572868347167969)","(0.047871983995558566, 0.005339144444024447)"
50,5,0,"(0.004848986864089966, 0.000630110502243042)","(0.026853893421848293, 0.006206628213313755)"
51,5,1,"(0.0010996758937835693, 0.0003959238529205322)","(0.0051776246658548075, 0.005752626868251072)"
52,5,2,"(0.029152393341064453, 0.0005550086498260498)","(0.0971664582477988, 0.006008893688770007)"
