,conversation id,turn,score distilbert,score roberta
0,0,0,"(0.9529997706413269, 0.0008718669414520264)","(0.41802826443445557, 0.026470253244986724)"
1,0,1,"(0.9808217585086823, 0.02167224884033203)","(0.9710404836016848, 0.024646938179673252)"
2,0,2,"(0.9657006561756134, 0.9549622237682343)","(0.9601098202303043, 0.9583138798990659)"
3,0,3,"(0.9700190722942352, 0.8265495300292969)","(0.9370951398173406, 0.9366410004538016)"
4,0,4,"(0.9742389023303986, 0.0005837380886077881)","(0.9638868392962222, 0.18140676431859226)"
5,0,5,"(0.9732994437217712, 0.000470966100692749)","(0.9397729991943125, 0.03340467918897546)"
6,0,6,"(0.9829066395759583, 0.001028686761856079)","(0.9709779453159504, 0.005511633631031151)"
7,0,7,"(0.9522520899772644, 0.0022122859954833984)","(0.9536884851314734, 0.18742999777439484)"
8,0,8,"(0.9731503129005432, 0.024251282215118408)","(0.9639563959910559, 0.620232068369353)"
9,0,9,"(0.9744221866130829, 0.000629037618637085)","(0.9519515617895691, 0.008163453698597669)"
10,1,0,"(0.9766674935817719, 0.859940379858017)","(0.9702374345264908, 0.20728988926720768)"
11,1,1,"(0.980445921421051, 0.0009754300117492676)","(0.9415986337376449, 0.02716842493524752)"
12,1,2,"(0.9831295311450958, 0.1972472071647644)","(0.973334000398789, 0.5632419385601337)"
13,1,3,"(0.9675529599189758, 0.0007237493991851807)","(0.9487375664213941, 0.030968459682656383)"
14,1,4,"(0.9827443361282349, 0.006505399942398071)","(0.9721350981084841, 0.00593889272830426)"
15,1,5,"(0.9752151370048523, 0.000756382942199707)","(0.9675998571059532, 0.0052317839871665805)"
16,1,6,"(0.981031984090805, 0.0003947615623474121)","(0.9281627715226888, 0.005374464299078038)"
17,1,7,"(0.9815108180046082, 0.0005311667919158936)","(0.9797722270958263, 0.011909443111130055)"
18,1,8,"(0.9775107502937317, 0.021259337663650513)","(0.9167863225095357, 0.1300264263945022)"
19,1,9,"(0.9741464853286743, 0.012968957424163818)","(0.8914087238698027, 0.2143880464351404)"
20,2,0,"(0.9785450100898743, 0.18799707293510437)","(0.9744711278237688, 0.8172139130851725)"
21,2,1,"(0.9735673367977142, 0.10120296478271484)","(0.1934632679906665, 0.3757436548586543)"
22,2,2,"(0.9779978096485138, 0.0005459189414978027)","(0.9772951496464128, 0.004984563233465566)"
23,2,3,"(0.9736108779907227, 0.06630048155784607)","(0.16680119716012726, 0.045268464595389475)"
24,2,4,"(0.9732345640659332, 0.9285538792610168)","(0.8142330413936035, 0.79537498022721)"
25,2,5,"(0.9683968424797058, 0.0027792751789093018)","(0.9158382165172605, 0.013238640575274411)"
26,2,6,"(0.9767469167709351, 0.003779768943786621)","(0.9169965790239493, 0.05563006054625672)"
27,2,7,"(0.9738284051418304, 0.0015404224395751953)","(0.9386785419532646, 0.008192395279698722)"
28,2,8,"(0.9514516294002533, 0.048493891954422)","(0.9686461774271201, 0.19493939189953322)"
29,2,9,"(0.9799931943416595, 0.0005421042442321777)","(0.9777730697179273, 0.005205257668787342)"
30,3,0,"(0.9778142869472504, 0.0102023184299469)","(0.8130734434825309, 0.0490491767604221)"
31,3,1,"(0.9828749001026154, 0.005622297525405884)","(0.9764186195529541, 0.7497190265620575)"
32,3,2,"(0.9810974299907684, 0.0010006129741668701)","(0.979238523622576, 0.014181042908186503)"
33,3,3,"(0.9622110724449158, 0.12786996364593506)","(0.8998000552028249, 0.8223643506434112)"
34,3,4,"(0.9826993346214294, 0.0005688667297363281)","(0.9769579759563336, 0.00529998652605478)"
35,3,5,"(0.9718713462352753, 0.7637513279914856)","(0.9740124793613331, 0.944132043058775)"
36,3,6,"(0.977996826171875, 0.0006251931190490723)","(0.9662255212900863, 0.005517543665692804)"
37,3,7,"(0.024220526218414307, 0.001310586929321289)","(0.010142822707536421, 0.008590227428101525)"
38,3,8,"(0.9552389979362488, 0.0021507740020751953)","(0.24668820733190067, 0.01840893107735798)"
39,3,9,"(0.9435567259788513, 0.822654664516449)","(0.9341467932454265, 0.9716354330336401)"
40,4,0,"(0.9801748096942902, 0.9241277873516083)","(0.9580536605779792, 0.6820110739903426)"
41,4,1,"(0.9836918711662292, 0.09708806872367859)","(0.9797947253281106, 0.7248782523857671)"
42,4,2,"(0.9781385958194733, 0.0005052387714385986)","(0.9380003670681311, 0.004839033359245394)"
43,4,3,"(0.9182251691818237, 0.0005094707012176514)","(0.9500064526586284, 0.07350121589294997)"
44,4,4,"(0.8391484618186951, 0.0012918710708618164)","(0.9747054998108297, 0.07440120916379139)"
45,4,5,"(0.9569273591041565, 0.06830158829689026)","(0.976767848196578, 0.9392259179080864)"
46,4,6,"(0.9814625084400177, 0.11583340167999268)","(0.9796573054066435, 0.08371788885964127)"
47,4,7,"(0.9675098061561584, 0.0006641149520874023)","(0.9728642668861284, 0.005091915443946155)"
48,4,8,"(0.027420729398727417, 0.00044977664947509766)","(0.06391006957103008, 0.006437346159450135)"
49,4,9,"(0.9802742302417755, 0.9736184179782867)","(0.9641877056021656, 0.9447751062281473)"
50,5,0,"(0.9758038222789764, 0.9305351078510284)","(0.9275969891016168, 0.7953788411471201)"
51,5,1,"(0.9791854918003082, 0.9663214087486267)","(0.961032198001157, 0.8986547912359731)"
52,5,2,"(0.978835940361023, 0.0007021725177764893)","(0.9624687279473555, 0.005607621514795287)"
53,5,3,"(0.9719232618808746, 0.0005919337272644043)","(0.6753707242479886, 0.005377694810488746)"
54,5,4,"(0.9806396663188934, 0.9454818665981293)","(0.9478204948162768, 0.8949625234123169)"
55,5,5,"(0.9821432530879974, 0.9605163931846619)","(0.9776818634809356, 0.9240018218402464)"
56,5,6,"(0.981290191411972, 0.0006355941295623779)","(0.9650735679995031, 0.00523626777029072)"
57,5,7,"(0.9824638068675995, 0.0004919767379760742)","(0.9718960645865727, 0.007032243179102245)"
58,5,8,"(0.9808436036109924, 0.0004279613494873047)","(0.9757117464882459, 0.005300758329667733)"
59,5,9,"(0.7689948976039886, 0.00046068429946899414)","(0.08263310556590324, 0.047891450873216404)"
60,6,0,"(0.9739652574062347, 0.1772044599056244)","(0.9569567676588401, 0.8645311962031709)"
