,conversation id,turn,score distilbert,score roberta
0,0,0,"(0.0004704892635345459, 0.17102769017219543)","(0.9801623155433601, 0.2107465169256078)"
1,0,1,"(0.9719174802303314, 0.020723164081573486)","(0.9479034322782526, 0.11934348809248982)"
2,0,2,"(0.0020162463188171387, 0.0005470514297485352)","(0.009440351032146545, 0.028551722494628413)"
3,0,3,"(0.0015746057033538818, 0.0005918741226196289)","(0.008556271470919051, 0.005164096880508982)"
4,0,4,"(0.0034983456134796143, 0.0004178285598754883)","(0.007997995110326443, 0.005187359918677914)"
5,0,5,"(0.0008519589900970459, 0.00045114755630493164)","(0.0050015607176153165, 0.005415232617877843)"
6,0,6,"(0.9822980463504791, 0.11078116297721863)","(0.9788815713314948, 0.09703951367972653)"
7,0,7,"(0.0006935000419616699, 0.0010095536708831787)","(0.00558575180544631, 0.005101911494956028)"
8,0,8,"(0.0010578930377960205, 0.0009309053421020508)","(0.0063023545336238435, 0.0054495332322314636)"
9,0,9,"(0.9752264618873596, 0.000612109899520874)","(0.9780115133597423, 0.0109934316652854)"
10,1,0,"(0.9729836285114288, 0.2253667116165161)","(0.9604690698838055, 0.8948297901944393)"
11,1,1,"(0.9749418795108795, 0.0004922151565551758)","(0.9684564179014613, 0.006719891590143593)"
12,1,2,"(0.9711185693740845, 0.10835421085357666)","(0.9121594443030461, 0.9531157555903917)"
13,1,3,"(0.9737387299537659, 0.7674810588359833)","(0.9276665001116511, 0.9499027749170277)"
14,1,4,"(0.0009661018848419189, 0.0011571645736694336)","(0.010145662040420665, 0.044177220676753864)"
15,1,5,"(0.0034519731998443604, 0.9721339046955109)","(0.9804556811140105, 0.9077621073454262)"
16,1,6,"(0.0007993876934051514, 0.0009323358535766602)","(0.0059372658414255965, 0.005098492653488507)"
17,1,7,"(0.006543755531311035, 0.0016442537307739258)","(0.0061629550726711784, 0.006097920540136879)"
18,1,8,"(0.0005511641502380371, 0.0003987252712249756)","(0.006120872265108805, 0.005967732086980015)"
19,1,9,"(0.0013752877712249756, 0.00037997961044311523)","(0.005886571518042102, 0.005285649330946653)"
20,2,0,"(0.8921086490154266, 0.05728420615196228)","(0.957435308710692, 0.8389199974220395)"
21,2,1,"(0.0008958578109741211, 0.0005010664463043213)","(0.09828383754637868, 0.005748954379430721)"
22,2,2,"(0.002161353826522827, 0.0007700324058532715)","(0.02021972286059267, 0.006525209783725314)"
23,2,3,"(0.0020325183868408203, 0.0004386007785797119)","(0.9682655328872435, 0.009565369629299016)"
24,2,4,"(0.001939326524734497, 0.0007188022136688232)","(0.006262004717737166, 0.005051751816124985)"
25,2,5,"(0.9083952307701111, 0.002296924591064453)","(0.9178666319399131, 0.08373665518131293)"
26,2,6,"(0.058764636516571045, 0.004781633615493774)","(0.8612701774842063, 0.0753286624578325)"
27,2,7,"(0.786371499300003, 0.00044846534729003906)","(0.11151117569434739, 0.0351845315086019)"
28,2,8,"(0.2165094017982483, 0.0014199614524841309)","(0.11787922761757852, 0.02484600299157486)"
29,2,9,"(0.0005265176296234131, 0.00037866830825805664)","(0.005076854321636108, 0.006291279228699182)"
30,3,0,"(0.7509222328662872, 0.00037047266960144043)","(0.2137393412708002, 0.005224366585725263)"
31,3,1,"(0.017844170331954956, 0.0005848109722137451)","(0.21590185242011864, 0.02223110697521969)"
32,3,2,"(0.7799495160579681, 0.039696335792541504)","(0.34945235161595817, 0.12998124516677534)"
33,3,3,"(0.9700696468353271, 0.0021982192993164062)","(0.9221935363983846, 0.10802504808091656)"
34,3,4,"(0.012902379035949707, 0.0007493495941162109)","(0.18905310570675377, 0.03532096688641745)"
